causa,nivel,justificacion_medica,cie10,confianza,frecuencia,pct_cobertura,origen
OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS,1,"Infecciones generalmente de manejo ambulatorio, clasificación depende de severidad no especificada",B99,baja,12398.0,0.263,top_500
ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA,2,Lesión ligamentaria que puede requerir reconstrucción artroscópica de LCA con hospitalización de 1-2 días,S83.5,alta,12063.0,0.2559,top_500
HEMORROIDES INTERNAS TROMBOSADAS,2,Complicación hemorroidal que puede requerir hemorroidectomía urgente o programada con hospitalización breve,K64.0,alta,12048.0,0.2556,top_500
PARTO UNICO POR CESAREA,2,Cirugía obstétrica con hospitalización estándar de 2-4 días,O82,alta,11900.0,0.2525,top_500
CONSULTA PARA ATENCIÓN Y SUPERVISIÓN DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS,1,Control pediátrico de niño sano realizado de forma ambulatoria,Z76.2,alta,11741.0,0.2491,top_500
"DESGARRO DE MENISCOS, PRESENTE",2,Lesión meniscal que requiere artroscopia de rodilla programada con hospitalización menor a 24 horas,M23.2,alta,11562.0,0.2453,top_500
PRUEBA Y AJUSTE DE ANTEOJOS Y LENTES DE CONTACTO,1,Procedimiento optométrico ambulatorio para adaptación de corrección visual,Z46.0,alta,11505.0,0.2441,top_500
MIOPÍA,1,Defecto refractivo que requiere consulta oftalmológica ambulatoria y corrección con lentes,H52.1,alta,11446.0,0.2429,top_500
OTROS TRASTORNOS INTERNOS DE LA RODILLA,2,Patología articular de rodilla que puede requerir artroscopia diagnóstica o terapéutica programada,M23.8,media,11318.0,0.2401,top_500
OTROS RECIÉN NACIDOS PRETÉRMINO,3,Prematurez que requiere manejo neonatal en UCI con hospitalización prolongada y cuidados intensivos,P07.3,alta,11200.0,0.2376,top_500
PRESENCIA DE ANTEOJOS Y LENTES DE CONTACTO,1,"Estado que indica uso de corrección óptica, no requiere atención médica activa",Z97.3,alta,11087.0,0.2352,top_500
OTRAS CONSULTAS ESPECIFICADAS,1,Consulta ambulatoria de seguimiento o valoración sin especificar patología,Z71.8,baja,11067.0,0.2348,top_500
VÁRICES ESCROTALES,2,Varicocele que puede requerir varicocelectomía programada con hospitalización de 1 día,I86.1,alta,10681.0,0.2266,top_500
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",2,Hernia no complicada que requiere hernioplastia programada con hospitalización de 1-2 días,K40.9,alta,10644.0,0.2258,top_500
"HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA",2,Hernia complicada que requiere cirugía urgente con hospitalización de 2-3 días,K42.0,alta,10588.0,0.2246,top_500
EXAMEN DE LABORATORIO,1,Estudios de laboratorio clínico realizados de forma ambulatoria,Z01.7,alta,10145.0,0.2152,top_500
EMBARAZO ABDOMINAL,3,Embarazo ectópico abdominal que requiere cirugía ginecológica de emergencia con manejo en UCI por riesgo de sangrado masivo,O00.0,alta,10090.0,0.2141,top_500
DIENTES INCLUIDOS E IMPACTADOS,2,"Condición dental que requiere extracción quirúrgica programada, puede ser ambulatoria o con hospitalización breve según complejidad",K01,media,9933.0,0.2107,top_500
FRACTURA DE LOS HUESOS DE LA NARIZ,1,Fractura nasal que generalmente requiere reducción cerrada ambulatoria sin hospitalización,S02.2,alta,9705.0,0.2059,top_500
"INFECCIÓN DEBIDA A CORONAVIRUS, DE SITIO NO ESPECIFICADO",2,Infección por coronavirus que puede requerir hospitalización según severidad del cuadro clínico,B34.2,media,9416.0,0.1998,top_500
TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA,2,Trauma complejo de rodilla que frecuentemente requiere cirugía reparadora artroscópica o abierta con hospitalización,S89.7,alta,9396.0,0.1994,top_500
CARDIOMIOPATÍA ISQUÉMICA,3,"Enfermedad coronaria crónica grave que requiere manejo cardiológico especializado, procedimientos intervencionistas o cirugía de revascularización",I25.5,alta,9274.0,0.1968,top_500
FRACTURA DE LA CLAVÍCULA,2,Fractura que puede requerir reducción abierta con fijación interna programada y hospitalización de 1-2 días,S42.0,alta,9225.0,0.1957,top_500
LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO,2,Luxación que requiere reducción cerrada bajo sedación o reducción abierta quirúrgica con hospitalización breve,S93.0,alta,9157.0,0.1943,top_500
INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,3,"Emergencia cardiovascular que requiere manejo en UCI con cateterismo urgente, hospitalización prolongada y cuidados intensivos",I21.0,alta,9012.0,0.1912,top_500
"CONSULTA, NO ESPECIFICADA",1,Consulta ambulatoria sin especificar motivo o patología,Z71.9,baja,8925.0,0.1894,top_500
OTRAS RINITIS ALÉRGICAS,1,Rinitis alérgica de manejo ambulatorio con antihistamínicos y medidas de control ambiental,J30.3,alta,8918.0,0.1892,top_500
RINITIS VASOMOTORA,1,Rinitis no alérgica de manejo ambulatorio con tratamiento sintomático,J30.0,alta,8910.0,0.189,top_500
CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS,2,Colecistitis calculosa que requiere colecistectomía programada con hospitalización de 2-3 días,K80.1,alta,8769.0,0.1861,top_500
COLECISTITIS CRÓNICA,2,Inflamación vesicular crónica que requiere colecistectomía programada con hospitalización de 2-3 días,K81.1,alta,8768.0,0.186,top_500
"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS",2,Condición urológica que requiere circuncisión programada con hospitalización de 1 día o ambulatoria,N47,alta,8708.0,0.1848,top_500
"GASTRITIS, NO ESPECIFICADA",1,Gastritis de manejo ambulatorio con inhibidores de bomba de protones y endoscopia diagnóstica ambulatoria,K29.7,alta,8565.0,0.1817,top_500
ANGINA INESTABLE,3,Síndrome coronario agudo que requiere hospitalización urgente en UCI con cateterismo y posible revascularización,I20.0,alta,8481.0,0.1799,top_500
OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,"Patología nasosinusal generalmente de manejo ambulatorio, cirugía programada si requiere",J34.8,media,8478.0,0.1799,top_500
OTRAS GASTRITIS AGUDAS,1,"Gastritis aguda generalmente de manejo ambulatorio con tratamiento médico, endoscopia si sangrado",K29.1,media,8477.0,0.1799,top_500
CATARATA SENIL INCIPIENTE,2,Catarata que requiere facoemulsificación programada con hospitalización ambulatoria o de 1 día,H25.0,alta,8469.0,0.1797,top_500
OTROS TRASTORNOS DE LA REFRACCIÓN,1,Defectos refractivos que requieren consulta oftalmológica ambulatoria y corrección óptica,H52.6,alta,8449.0,0.1793,top_500
"ARTRITIS REUMATOIDE, NO ESPECIFICADA",1,"Enfermedad autoinmune de manejo reumatológico ambulatorio con tratamiento inmunosupresor, hospitalización solo en complicaciones",M06.9,media,8323.0,0.1766,top_500
QUISTE FOLICULAR DEL OVARIO,2,Quiste ovárico que puede requerir cistectomía laparoscópica programada si persistente o sintomático,N83.0,alta,8298.0,0.1761,top_500
"HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA",2,Hernia no complicada que requiere hernioplastia bilateral programada con hospitalización de 1-2 días,K40.2,alta,8045.0,0.1707,top_500
FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO,2,Fractura distal de radio que frecuentemente requiere reducción cerrada o abierta con fijación y hospitalización breve,S52.5,alta,7840.0,0.1663,top_500
"TRAUMATISMO, NO ESPECIFICADO",1,"Trauma inespecífico que generalmente se maneja de forma ambulatoria, clasificación depende de severidad no especificada",T14.9,baja,7840.0,0.1663,top_500
"RINITIS ALÉRGICA, NO ESPECIFICADA",1,Rinitis alérgica de manejo ambulatorio con antihistamínicos,J30.4,alta,7775.0,0.165,top_500
INSUFICIENCIA RENAL TERMINAL,3,"Enfermedad renal crónica en estadio final que requiere hemodiálisis o diálisis peritoneal en unidad especializada, trasplante renal",N18.0,alta,7772.0,0.1649,top_500
"DIABETES MELLITUS NO ESPECIFICADA, CON COMA",3,Emergencia metabólica grave que requiere manejo en UCI por descompensación diabética severa,E14.0,alta,7746.0,0.1643,top_500
SUFRIMIENTO MATERNO DURANTE EL TRABAJO DE PARTO Y EL PARTO,2,"Complicación obstétrica que requiere atención hospitalaria urgente, posible cesárea de emergencia",O75,alta,7520.0,0.1596,top_500
ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO,3,"Complicación quirúrgica abdominal grave que requiere cirugía de emergencia, UCI y hospitalización prolongada por sepsis",K57.0,alta,7502.0,0.1592,top_500
LEIOMIOMA DEL UTERO,2,Mioma uterino que puede requerir miomectomía o histerectomía programada con hospitalización,D25,alta,7149.0,0.1517,top_500
FRACTURA DE OTRO DEDO DE LA MANO,1,Fractura digital que generalmente requiere reducción cerrada e inmovilización ambulatoria,S62.6,alta,7085.0,0.1503,top_500
"TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO",2,Patología articular de rodilla que puede requerir artroscopia diagnóstica o terapéutica programada,M23.9,media,7073.0,0.1501,top_500
AMIGDALITIS CRÓNICA,2,Amigdalitis recurrente que requiere amigdalectomía programada con hospitalización de 1-2 días,J35.0,alta,7063.0,0.1499,top_500
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS,1,ERGE de manejo ambulatorio con inhibidores de bomba de protones y medidas higiénico-dietéticas,K21.9,alta,7004.0,0.1486,top_500
"NEUMONÍA, NO ESPECIFICADA",2,Neumonía que puede requerir hospitalización para antibióticos intravenosos según severidad del cuadro,J18.9,media,6908.0,0.1466,top_500
"HIPOTIROIDISMO, NO ESPECIFICADO",1,Enfermedad endocrina de manejo ambulatorio con levotiroxina y seguimiento clínico,E03.9,alta,6846.0,0.1453,top_500
HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA,2,Hernia hiatal o diafragmática que puede requerir reparación quirúrgica programada con hospitalización,K44.9,alta,6844.0,0.1452,top_500
PTERIGIÓN,2,"Lesión conjuntival que requiere resección quirúrgica oftalmológica programada, generalmente ambulatoria",H11.0,alta,6775.0,0.1437,top_500
"TRAUMATISMOS SUPERFICIALES MÚLTIPLES, NO ESPECIFICADOS",1,Heridas o contusiones superficiales de manejo ambulatorio con curación local,T00.9,alta,6773.0,0.1437,top_500
FRACTURA DE LA DIÁFISIS DEL RADIO,2,Fractura de radio que requiere reducción cerrada o abierta con fijación interna y hospitalización de 1-2 días,S52.3,alta,6755.0,0.1433,top_500
"DIABETES MELLITUS TIPO 1, CON COMA",3,Emergencia metabólica grave que requiere manejo en UCI por cetoacidosis diabética severa,E10.0,alta,6744.0,0.1431,top_500
TRASTORNO INTERNO DE LA RODILLA,2,Patología articular de rodilla que puede requerir artroscopia programada con hospitalización breve,M23,media,6740.0,0.143,top_500
TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,3,"Cáncer de tiroides que requiere tiroidectomía oncológica, yodo radioactivo y seguimiento endocrinológico especializado",C73,alta,6709.0,0.1423,top_500
OTRAS GASTRITIS,1,Gastritis de manejo ambulatorio con tratamiento médico y endoscopia diagnóstica si requiere,K29.6,media,6676.0,0.1416,top_500
"CATARATA INFANTIL, JUVENIL Y PRESENIL",2,Catarata que requiere facoemulsificación programada con hospitalización ambulatoria o de 1 día,H26,alta,6670.0,0.1415,top_500
OTRAS LESIONES DEL HOMBRO,2,Lesión del hombro que puede requerir reparación artroscópica programada con hospitalización breve,S49.8,media,6509.0,0.1381,top_500
APENDICITIS AGUDA,2,Urgencia quirúrgica abdominal que requiere apendicectomía con hospitalización de 2-3 días,K35,alta,6405.0,0.1359,top_500
FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO,2,Fractura escafoidea que puede requerir reducción abierta con fijación interna y hospitalización breve,S62.0,alta,6344.0,0.1346,top_500
ASMA PREDOMINANTEMENTE ALÉRGICA,1,"Asma de manejo ambulatorio con broncodilatadores y corticoides inhalados, hospitalización solo en crisis severas",J45.0,media,6295.0,0.1336,top_500
OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES,1,"Patología nasosinusal generalmente de manejo ambulatorio, cirugía programada si requiere",J34.8,media,6236.0,0.1323,top_500
PÓLIPO DEL CUERPO DEL ÚTERO,2,Pólipo endometrial que requiere resección histeroscópica programada con hospitalización ambulatoria o de 1 día,N84.0,alta,6146.0,0.1304,top_500
ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL,1,"Lesión cervical de manejo ambulatorio con inmovilización, analgésicos y fisioterapia",S13.4,alta,6135.0,0.1302,top_500
SÍNDROME DEL MANGUITO ROTATORIO,2,Lesión del manguito rotador que puede requerir reparación artroscópica programada con hospitalización de 1 día,M75.1,alta,6134.0,0.1301,top_500
"TRASTORNOS DEL METABOLISMO DE LAS PROTEÍNAS PLASMÁTICAS, NO CLASIFICADOS EN OTRA PARTE",1,Trastorno metabólico generalmente de manejo ambulatorio con seguimiento clínico y tratamiento médico,E88.0,media,6105.0,0.1295,top_500
TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA,2,Hernia discal cervical que puede requerir cirugía de columna programada con hospitalización de 2-4 días,M50.1,alta,6095.0,0.1293,top_500
"HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",1,Herida digital que requiere sutura y curación ambulatoria,S61.0,alta,6053.0,0.1284,top_500
ESCLEROSIS MÚLTIPLE,3,"Enfermedad neurológica autoinmune crónica que requiere manejo neurológico especializado con inmunomoduladores, hospitalización en brotes severos",G35,alta,6051.0,0.1284,top_500
TUMOR MALIGNO DE LA PRÓSTATA,3,"Cáncer de próstata que requiere tratamiento oncológico complejo con prostatectomía radical, radioterapia y hormonoterapia",C61,alta,6045.0,0.1283,top_500
"ABSCESO, FURÚNCULO Y CARBUNCO DE LA NARIZ",1,Infección cutánea nasal de manejo ambulatorio con antibióticos orales y drenaje si requiere,J34.0,alta,6012.0,0.1276,top_500
FRACTURA DE LA EPÍFISIS SUPERIOR DEL CÚBITO,2,Fractura de olécranon que requiere reducción abierta con fijación interna y hospitalización de 1-2 días,S52.0,alta,5972.0,0.1267,top_500
ENDOMETRIOSIS DEL ÚTERO,2,Adenomiosis que puede requerir cirugía ginecológica programada (histerectomía) con hospitalización,N80.0,alta,5932.0,0.1259,top_500
SÍNDROME DEL COLON IRRITABLE SIN DIARREA,1,Trastorno funcional digestivo de manejo ambulatorio con tratamiento sintomático y modificación dietética,K58.9,alta,5898.0,0.1251,top_500
LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO,2,Luxación que requiere reducción cerrada bajo sedación o reducción abierta con hospitalización breve,S43.0,alta,5800.0,0.1231,top_500
"OTRAS NEUMONÍAS, DE MICROORGANISMO NO ESPECIFICADO",2,Neumonía que puede requerir hospitalización para antibióticos intravenosos según severidad,J18.8,media,5685.0,0.1206,top_500
TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO,3,Síndrome coronario agudo que requiere hospitalización en UCI con cateterismo urgente y manejo cardiológico especializado,I24.0,alta,5660.0,0.1201,top_500
QUERATOCONO,2,"Degeneración corneal que puede requerir crosslinking corneal, anillos intracorneales o trasplante de córnea programado",H18.6,alta,5655.0,0.12,top_500
CARCINOMA IN SITU LOBULAR,3,Lesión premaligna mamaria que requiere cirugía oncológica programada y seguimiento oncológico estricto,D05.0,alta,5604.0,0.1189,top_500
TRAUMATISMO DEL TENDÓN DE AQUILES,2,Ruptura del tendón de Aquiles que requiere reparación quirúrgica programada con hospitalización de 1-2 días,S86.0,alta,5472.0,0.1161,top_500
MIGRAÑA SIN AURA [MIGRAÑA COMÚN],1,Cefalea primaria de manejo neurológico ambulatorio con analgésicos y tratamiento profiláctico,G43.0,alta,5416.0,0.1149,top_500
"DIABETES MELLITUS TIPO 2, SIN MENCIÓN DE COMPLICACIÓN",1,Diabetes de manejo ambulatorio con hipoglucemiantes orales o insulina y seguimiento clínico,E11.9,alta,5384.0,0.1142,top_500
HIPERTROFIA DE LAS AMÍGDALAS CON HIPERTROFIA DE LAS ADENOIDES,2,Hipertrofia adenoamigdalina que requiere adenoamigdalectomía programada con hospitalización de 1-2 días,J35.3,alta,5302.0,0.1125,top_500
"GONARTROSIS PRIMARIA, BILATERAL",2,Artrosis de rodilla bilateral que puede requerir artroplastia total de rodilla bilateral programada con hospitalización prolongada,M17.0,media,5264.0,0.1117,top_500
CAPSULITIS ADHESIVA DEL HOMBRO,1,"Hombro congelado de manejo ambulatorio con fisioterapia, infiltraciones y analgésicos, rara vez requiere artroscopia",M75.0,alta,5248.0,0.1113,top_500
LUXACIÓN DE LA RÓTULA,2,Luxación patelar que puede requerir reducción cerrada o cirugía estabilizadora artroscópica programada,S83.0,alta,5246.0,0.1113,top_500
"CATARATA, NO ESPECIFICADA",2,Catarata que requiere facoemulsificación programada con hospitalización ambulatoria o de 1 día,H26.9,alta,5175.0,0.1098,top_500
ATRICIÓN EXCESIVA DE LOS DIENTES,1,Desgaste dental que requiere manejo odontológico ambulatorio con restauraciones o guardas oclusales,K03.0,alta,5140.0,0.1091,top_500
OTROS TRASTORNOS DEL DESARROLLO Y CRECIMIENTO ÓSEO,1,"Trastorno del desarrollo óseo generalmente de manejo ambulatorio ortopédico, cirugía programada si requiere corrección",M89.2,media,5077.0,0.1077,top_500
EXAMEN DE OJOS Y DE LA VISIÓN,1,Examen oftalmológico preventivo o diagnóstico realizado de forma ambulatoria,Z01.0,alta,5038.0,0.1069,top_500
LEUCEMIA LINFOBLÁSTICA AGUDA [LLA],3,Cáncer hematológico agudo que requiere quimioterapia intensiva en UCI oncológica con hospitalización prolongada y trasplante de médula ósea,C91.0,alta,5028.0,0.1067,top_500
CAMBIOS POSTERUPTIVOS DEL COLOR DE LOS TEJIDOS DENTALES DUROS,1,Cambios de coloración dental que requieren manejo odontológico ambulatorio estético con blanqueamiento o restauraciones,K03.7,alta,5000.0,0.1061,top_500
HALLUX VALGUS (ADQUIRIDO),2,Juanete que puede requerir osteotomía correctora programada (cirugía de hallux valgus) con hospitalización de 1 día,M20.1,alta,4906.0,0.1041,top_500
"TRASTORNO DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA",2,Hernia discal lumbar que puede requerir cirugía de columna programada con hospitalización de 2-5 días,M51.1,alta,4851.0,0.1029,top_500
