causa,frecuencia,monto_total,pct_cobertura,pct_acumulado,rango,origen
"OCUPANTE DE AUTOMÓVIL LESIONADO POR COLISIÓN CON VEHÍCULO DE MOTOR DE DOS O TRES RUEDAS, PERSONA QUE VIAJA FUERA DEL VEHÍCULO, LESIONADA EN ACCIDENTE NO DE TRÁNSITO",1,52831.92,0.0,99.9623,8784,sample_1000
"PROBLEMAS RELACIONADOS CON LA SOLICITUD O ACEPTACIÓN DE INTERVENCIONES PSICOLÓGICAS O DE LA CONDUCTA, CONOCIENDO SU RIESGO Y PELIGRO",1,6148.0,0.0,99.9623,8631,sample_1000
SINDROME LACUNAR MOTOR PURO (I60-I67Å),1,21933.88,0.0,99.9623,8444,sample_1000
"EXPOSICION A RAYOS SOLARES: ESCUELAS, OTRAS INSTITUCIONES Y AREAS ADMINISTRATIV",1,1231.33,0.0,99.9623,9025,sample_1000
DIVERTICULO CONGENITO DE LA VEJIGA,1,26233.93,0.0,99.9623,8946,sample_1000
"ENFERMEDAD DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",1,4599.95,0.0,99.9623,8878,sample_1000
LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS,1,99842.1,0.0,99.9623,9039,sample_1000
SIDNROME DE MARFAN,1,893.7,0.0,99.9623,8451,sample_1000
"ENVENENAMIENTO POR AGENTES TOPICOS QUE AFECTAN PRINCIPALMENTE LA PIEL Y LAS MEMBRANAS MUCOSAS Y POR DROGAS OFTALMOLOGICAS, OTORRINOLARINGOLOGICAS Y DENTALES: DROGAS LOCALES ANTIMICOTICAS, ANTIINFECCIO",1,4282.57,0.0,99.9623,9271,sample_1000
SECUELAS DE OPERACIONES DE GUERRA,1,31427.97,0.0,99.9623,9178,sample_1000
EXAMEN DE CERTIFICADO MEDICO,1,4180.0,0.0,99.9623,9132,sample_1000
PRUEBAS DE SENSIBILIZACIÓN Y DIAGNÓSTICO CUTÁNEO,1,212.92,0.0,99.9623,8652,sample_1000
PRESENCIA DE AUDÍFONO EXTERNO,1,9841.58,0.0,99.9623,8488,sample_1000
PERSISTENCIA DE LA CLOACA,1,46535.39,0.0,99.9623,8557,sample_1000
HEMORRAGIA RECTAL NEONATAL,1,13527.06,0.0,99.9623,8715,sample_1000
PERSONA EN CONTACTO CON LOS SERVICIOS DE SALUD PAR,1,9000.0,0.0,99.9623,8560,sample_1000
"LESIÓN AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, VIVIENDA",1,50000.0,0.0,99.9623,9041,sample_1000
EXAMEN DE PESQUISA ESPECIAL PARA INFECCIONES DE TRANSMISIÓN PREDOMINANTEMENTE SEXUAL,1,1989.45,0.0,99.9623,9137,sample_1000
"SÍFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN",1,9256.6,0.0,99.9623,8460,sample_1000
PÁNCREAS ANULAR,1,9823.04,0.0,99.9623,8752,sample_1000
EFECTOS ADVERSOS DE OTROS ANTIINFECCIOSOS Y ANTIPARASTARIOS SISTÉMICOS ESPECIFICADOS,1,9463.19,0.0,99.9623,8687,sample_1000
INMUNODEFICIENCIA COMBINADA SEVERA [IDCS] CON DISGENESIA RETICULAR,1,835563.65,0.0,99.9623,8903,sample_1000
TRAUMATISMO DE LA ARTERIA VERTEBRAL,1,45936.01,0.0,99.9623,8507,sample_1000
EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: EFECTOS TOXICOS DE OTRAS SUSTANCIAS ESPECIFICADAS,1,-1610.73,0.0,99.9623,8733,sample_1000
FETO Y RECIÉN NACIDO AFECTADOS POR OTRAS FORMAS DE DESPRENDIMIENTO Y DE HEMORRAGIA PLACENTARIOS,1,29165.83,0.0,99.9623,8988,sample_1000
PSEUDOMONAS (AERUGINOSA) (MALLEI) (PSEUDOMALLEI) COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS,1,5418.0,0.0,99.9623,8680,sample_1000
TRAUMATISMO DE VENA SUPERFICIAL A NIVEL DEL HOMBRO Y DEL BRAZO,1,3112.06,0.0,99.9623,8491,sample_1000
ARTRITIS Y POLIARTRITIS NEUMOCÓCICA,1,222611.62,0.0,99.9623,8586,sample_1000
"DIFTERIA, NO ESPECIFICADA",1,40297.92,0.0,99.9623,9151,sample_1000
OSTEOMALACIA DEL ADULTO DEBIDA A MALABSORCION,1,1394.94,0.0,99.9623,8517,sample_1000
OCUPANTE DE VEHICULO DE MOTOR DE TRES RUEDAS LESIONADO EN ACCIDENTE DE TRANSPORTE SIN COLISION,1,368835.12,0.0,99.9623,8701,sample_1000
TUMOR MALIGNO SECUNDARIO DE LA GLÁNDULA SUPRARRENAL,1,15071.52,0.0,99.9623,9290,sample_1000
"HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS DIGESTIVOS Y DE LA CAVIDAD ABDOMINAL: HALLAZGOS ANORMALES, NO ESPECIFICADOS",1,1837.0,0.0,99.9623,8792,sample_1000
OTROS TRASTORNOS ENCEFALITICOS ESPECIFICADOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1,760976.4799999999,0.0,99.9623,9057,sample_1000
"MORDEDURA O ATAQUE DE PERRO, ÁREA INDUSTRIAL Y DE LA CONSTRUCCIÓN",1,10794.5,0.0,99.9623,9204,sample_1000
TRABAJO DE PARTO Y PARTO COMPLICADOS POR LA PRESENCIA DE MECONIO EN EL LÍQUIDO AMNIÓTICO,1,68147.0,0.0,99.9623,9042,sample_1000
OTROS EFECTOS ESPECIFICADOS DE LA REDUCCIÓN DE LA TEMPERATURA,1,1553.08,0.0,99.9623,9285,sample_1000
"OCUPANTE DE AUTOMÓVIL LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS SIN MOTOR, PERSONA QUE VIAJA FUERA DEL VEHÍCULO, LESIONADA EN ACCIDENTE NO DE TRÁNSITO",1,3599.5,0.0,99.9623,8801,sample_1000
HALLAZGOS ANORMALES EN DIAGNOSTICO POR IMAGEN DE OTRAS ESTRUCTURAS ESPECIFICADAS DEL CUERPO,1,3034.21,0.0,99.9623,8802,sample_1000
NO ENFERMO O NO ACCIDENTADO,1,332.45,0.0,99.9623,8874,sample_1000
INFECCIÓN FILÁRICA DE LA CONJUNTIVA,1,6739.23,0.0,99.9623,8809,sample_1000
"FALLA DE LA INDUCCION MEDICA DEL ABORTO, COMPLICADO CON INFECCIËN GENITAL Y PELVIANA",1,15000.0,0.0,99.9623,8991,sample_1000
EFECTOS ADVERSOS DE OTRAS DROGAS ANTINEOPLÁSICAS,1,43606.88,0.0,99.9623,8619,sample_1000
DEGENERACION COMBINADA SUBAGUDA DE LA MEDULA ESPINAL EN ENFERNEDADES CLASIFICADAS EN OTRA PARTE,1,1975.0,0.0,99.9623,8484,sample_1000
"MORDEDURA O PICADURA DE INSECTOS Y OTROS ARTROPODOS NO VENENOSOS: ESCUELAS, OTR",1,4392.25,0.0,99.9623,9207,sample_1000
PUSTULOSIS GUTTATA,1,13153.559999999998,0.0,99.9623,8767,sample_1000
"EXPOSICIÓN A RAYOS SOLARES, OTRO LUGAR ESPECIFICADO",1,2350.0,0.0,99.9623,9078,sample_1000
TRASTORNOS DE SOMNOLENCIA EXCESIVA (HIPERSOMNIOS),1,27698.47,0.0,99.9623,8731,sample_1000
ENFERMEDAD INFLAMATORIA PÉLVICA FEMENINA POR SÍFILIS,1,50.0,0.0,99.9623,8863,sample_1000
"CUERPO EXTRAÑO QUE PENETRA POR EL OJO U ORIFICIO NATURAL, ÁREA INDUSTRIAL Y DE LA CONSTRUCCIÓN",1,1919.25,0.0,99.9623,8755,sample_1000
TRAUMATISMO DE LA VENA AXILAR O BRAQUIAL,1,4208.41,0.0,99.9623,8509,sample_1000
"EFECTO TOXICO DE GASES, HUMOS Y VAPORES: GASES, HUMOS Y VAPORES NO ESPECIFICADOS",1,67726.89,0.0,99.9623,8671,sample_1000
"CORROSIÓN DE LAS VÍAS RESPIRATORIAS, PARTE NO ESPECIFICADA",1,34973.05,0.0,99.9623,8898,sample_1000
ERITEMA AB IGNE (DERMATITIS AB IGNE),1,16411.71,0.0,99.9623,9356,sample_1000
"EXPOSICIÓN A PRESIÓN DE AIRE ALTA Y BAJA Y A CAMBIOS EN LA PRESIÓN DEL AIRE, VIVIENDA",1,233723.81,0.0,99.9623,9077,sample_1000
"ENFERMEDAD POR VIH, RESULTANTE EN SINDROME CAQUECTICO",1,303801.66000000003,0.0,99.9623,8861,sample_1000
"ICTIOSIS CONGENITA, NO ESPECIFICADA",1,57773.20999999999,0.0,99.9623,8682,sample_1000
RECHAZO DE TRASPLANTE DE MÉDULA ÓSEA,1,413442.6,0.0,99.9623,8927,sample_1000
"CONTACTO TRAUMÁTICO CON AGUIJONES, ESPINAS U HOJAS CORTANTES DE PLANTAS, VIVIENDA",1,4479.88,0.0,99.9623,9103,sample_1000
"CONTACTO TRAUMÁTICO CON OTROS ARTRÓPODOS VENENOSOS, COMERCIO Y ÁREA DE SERVICIOS",1,4142.07,0.0,99.9623,8962,sample_1000
ACCIDENTE DE EMBARCACION QUE CAUSA AHOGAMIENTO Y SUMERSION: BARCO MERCANTE,1,312198.91000000003,0.0,99.9623,9321,sample_1000
ESCOLIOSIS TORACOGENICA,1,6013.0,0.0,99.9623,9276,sample_1000
ATROFIA ÓPTICA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1,0.0,0.0,99.9623,9180,sample_1000
CONTACTO CON Y EXPOSICION AL VIRUS DE LA INMUNODEF,1,-12101.0,0.0,99.9623,9250,sample_1000
"EXPOSICIÓN AL FRÍO NATURAL EXCESIVO, INSTITUCIÓN RESIDENCIAL",1,1890.14,0.0,99.9623,9079,sample_1000
"MIASIS, NO ESPECIFICADA",1,5536.27,0.0,99.9623,9251,sample_1000
DEFICIENCIA DE MÚLTIPLES ELEMENTOS NUTRICIONALES,1,3480.0,0.0,99.9623,8589,sample_1000
COMPLICACIONES VENOSAS Y HEMORROIDES EN EL PUERPERIO,1,61594.66,0.0,99.9623,9090,sample_1000
"AGENESIA RENAL, SIN OTRA ESPECIFICACIÓN",1,1340.19,0.0,99.9623,9228,sample_1000
FISTULA CONGENITA ENTRE EL UTERO Y EL TRACTO DIGESTIVO Y URINARIO,1,1982.8199999999988,0.0,99.9623,8951,sample_1000
INTOXICACIÓN ALCOHÓLICA LEVE,1,15775.84,0.0,99.9623,8934,sample_1000
"TRASTORNOS DE LA ESCLEROTICA, NO ESPECIFICADO",1,50171.98999999999,0.0,99.9623,8765,sample_1000
TRASTORNOS CARDIOVASCULARES EN OTRAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS CLASIFICADAS EN OTRA PARTE,1,21752.19,0.0,99.9623,8763,sample_1000
"CONGELAMIENTO SUPERFICIAL DE LA PARED ABDOMINAL, REGIÓN LUMBOSACRA Y PELVIS",1,18801.14,0.0,99.9623,9310,sample_1000
"APORREO, GOLPE, MORDEDURA, PATADA, RASGUÑO O TORCEDURA INFLIGIDOS POR OTRA PERSONA, OTRO LUGAR ESPECIFICADO",1,3759.0,0.0,99.9623,8493,sample_1000
NEUMOCONIOSIS DEBIDA AL ASBESTO Y A OTRAS FIBRAS MINERALES,1,27004.08,0.0,99.9623,8963,sample_1000
SEUDOPELADA,1,2559.0,0.0,99.9623,8465,sample_1000
"OTROS INTENTOS FALLIDOS DE ABORTO Y LOS NO ESPECIFICADOS, COMPLICADOS POR INFECCIÓN GENITAL Y PELVIANA",1,10415.57,0.0,99.9623,9366,sample_1000
RUPTURA DE LAS CUERDAS TENDINOSAS COMO COMPLICACIÓN PRESENTE POSTERIOR AL INFARTO AGUDO DEL MIOCARDIO,2,562955.13,0.0,99.9623,8020,sample_1000
ALCALOSIS,2,44953.57,0.0,99.9623,8093,sample_1000
"SÍNDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLÓGICAS Y FACTORES FÍSICOS, NO ESPECIFICADOS",3,104255.84,0.0001,99.9411,7695,sample_1000
PRESENCIA DE IMPLANTES DE RAÍZ DE DIENTE Y DE MANDÍBULA,2,11000.0,0.0,99.9623,8312,sample_1000
AMPUTACIÓN TRAUMÁTICA DE LA MANO A NIVEL DE LA MUÑECA,6,155086.52,0.0001,99.8519,6803,sample_1000
ESTENOSIS NO REUMATICA (DE LA VALVULA) TRICUSPIDE),2,104090.71,0.0,99.9623,8199,sample_1000
ATROFIA DE LAS PAPILAS LINGUALES,3,11895.42,0.0001,99.9381,7665,sample_1000
SEPTICEMIA DEBIDA A SALMONELLA,3,77701.34,0.0001,99.926,7544,sample_1000
ENVENENAMIENTO POR ANTICONCEPTIVOS ORALES,4,4309.34,0.0001,99.9194,7478,sample_1000
PERSONA LESIONADA POR COLISION ENTRE AUTOMOVIL Y V,4,750651.8899999999,0.0001,99.9037,7321,sample_1000
CIRROSIS BILIAR SECUNDARIA,4,295559.79,0.0001,99.9038,7322,sample_1000
FETO Y RECIÉN NACIDO AFECTADOS POR SÍNDROMES DE TRANSFUSIÓN PLACENTARIA,3,383774.61,0.0001,99.9582,7866,sample_1000
TUMOR BENIGNO DEL OJO Y SUS ANEXOS,8,105320.16,0.0002,99.8165,6468,sample_1000
OTROS TRASTORNOS ADRENOGENITALES,3,4254.9400000000005,0.0001,99.931,7594,sample_1000
DISFUNCIÓN DEL LABERINTO,9,200161.35,0.0002,99.7729,6250,sample_1000
"INHALACIÓN E INGESTIÓN DE OTROS OBJETOS QUE CAUSAN OBSTRUCCIÓN DE LAS VÍAS RESPIRATORIAS, GRANJA",8,49169.1,0.0002,99.8115,6443,sample_1000
"TRASTORNOS HIPERTENSIVOS PREEXISTENTES, CON PROTEINURIA AGREGADA",7,362892.96,0.0001,99.8378,6662,sample_1000
TRASTORNO NO ESPECIFICADO DE LA ENCÍA Y DE LA ZONA EDÉNTULA,4,55958.5,0.0001,99.9071,7355,sample_1000
"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MÚLTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, INTOXICACIÓN AGUDA",7,181402.34,0.0001,99.8376,6660,sample_1000
"TRASTORNO LOCALIZADO DEL TEJIDO CONJUNTIVO, NO ESPECIFICADO",2,86343.73000000001,0.0,99.9623,8028,sample_1000
"CONTACTO CON AIRE Y GASES CALIENTES, VIVIENDA",2,73341.23000000001,0.0,99.9623,8331,sample_1000
HEMIPLEJIA,2,53446.64,0.0,99.9623,8188,sample_1000
"OTRAS CAÍDAS EN EL MISMO NIVEL, OTRO LUGAR ESPECIFICADO",4,210731.08,0.0001,99.9017,7301,sample_1000
"CONDUCTOR DE VEHÍCULO DE MOTOR DE TRES RUEDAS LESIONADO POR COLISIÓN CON OTROS VEHÍCULOS DE MOTOR, Y CON LOS NO ESPECIFICADOS, EN ACCIDENTE NO DE TRÁNSITO",7,105119.06,0.0001,99.8213,6497,sample_1000
"FACOMATOSIS, NO CLASIFICADA EN OTRA PARTE",4,33054.520000000004,0.0001,99.9141,7425,sample_1000
FASCITIS NODULAR,4,16833.52,0.0001,99.9139,7423,sample_1000
OTROS TRASTORNOS DEL HUMOR [AFECTIVOS] PERSISTENTES,2,31905.0,0.0,99.9623,8115,sample_1000
"MALFORMACION CONGENITA DEL APARATO URINARIO, NO ESPECIFICADA",2,32601.67,0.0,99.9623,8296,sample_1000
"TRASTORNO DE LA CONTINUIDAD DEL HUESO, NO ESPECIFICADO",4,75622.73000000001,0.0001,99.9013,7297,sample_1000
ESTENOSIS MITRAL CONGÉNITA,3,107662.78,0.0001,99.9373,7657,sample_1000
DISPLASIA CONDROECTODÉRMICA,3,387774.94,0.0001,99.9446,7730,sample_1000
HERIDA QUE COMPROMETE LA FARINGE Y EL ESÓFAGO CERVICAL,5,139988.39,0.0001,99.8851,7135,sample_1000
"COMPLICACIONES DE PROCEDIMIENTOS, NO CLASIFICADAS EN OTRA PARTE",8,646878.63,0.0002,99.7985,6378,sample_1000
AMPUTACIÓN TRAUMÁTICA EN ALGÚN NIVEL ENTRE LA CADERA Y LA RODILLA,2,1532556.17,0.0,99.9623,8021,sample_1000
"DELIRIO NO SUPERPUESTO A UN CUADRO DE DEMENCIA, ASÍ DESCRITO",7,160619.62,0.0001,99.8364,6648,sample_1000
HIPOPLASIA Y DISPLASIA PULMONAR,4,266875.42,0.0001,99.8943,7227,sample_1000
DOLOR FACIAL ATÍPICO,7,579448.03,0.0001,99.8395,6679,sample_1000
SÍNDROME DEL ABDOMEN EN CIRUELA PASA,2,587291.4400000001,0.0,99.9623,8294,sample_1000
ICTERICIA NEONATAL DEBIDA A HEMORRAGIA,2,140746.85,0.0,99.9623,8166,sample_1000
"INFECCIÓN PULMONAR DEBIDA A HISTOPLASMA CAPSULATUM, SIN OTRA ESPECIFICACIÓN",3,25125.68,0.0001,99.9471,7755,sample_1000
PRUEBA Y AJUSTE DE PRÓTESIS DENTAL,9,138220.32,0.0002,99.7597,6184,sample_1000
TRAUMATISMOS POR APLASTAMIENTO QUE AFECTAN MÚLTIPLES REGIONES DEL (DE LOS) MIEMBRO(S) INFERIOR(ES),3,53479.57,0.0001,99.9389,7673,sample_1000
OTROS TRASTORNOS HEMATOLÓGICOS PERINATALES ESPECIFICADOS,10,333940.16000000003,0.0002,99.7363,6067,sample_1000
TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO,4,665735.79,0.0001,99.8959,7243,sample_1000
TRASTORNO DEL METABOLISMO DE LOS AMINOACIDOS AZUFRADOS,3,143947.36000000002,0.0001,99.9586,7870,sample_1000
PROBLEMAS RELACIONADOS CON LA DIETA Y HÁBITOS ALIMENTARIOS INAPROPIADOS,4,28286.08,0.0001,99.9198,7482,sample_1000
CANDIDIASIS DE OTRAS LOCALIZACIONES UROGENITALES,3,6174.67,0.0001,99.9404,7688,sample_1000
OTROS TRASTORNOS DEL NERVIO OPTICO [II PAR] Y DE LAS VIAS OPTICAS,9,156003.0,0.0002,99.7743,6257,sample_1000
EXAMEN PARA ADMISIÓN A INSTITUCIONES EDUCATIVAS,8,55300.560000000005,0.0002,99.8127,6449,sample_1000
"TRASTORNO NO REUMÁTICO DE LA VÁLVULA TRICÚSPIDE, NO ESPECIFICADO",2,26273.42,0.0,99.9623,8047,sample_1000
ENFERMEDAD DE PAGET DEL CRÁNEO,5,159684.31,0.0001,99.8839,7123,sample_1000
OTROS ESTRANGULAMIENTOS Y AHORCAMIENTOS ACCIDENTALES: VIVIENDA,2,12614.54,0.0,99.9623,8336,sample_1000
OTRAS ESPONDILOPATÍAS INFECCIOSAS,7,2401944.04,0.0001,99.8249,6533,sample_1000
"GOLPE CONTRA O GOLPEADO POR EQUIPO PARA DEPORTES, VIVIENDA",6,59221.66,0.0001,99.846,6744,sample_1000
OTRAS MALFORMACIONES CONGÉNITAS DE LOS PÁRPADOS,3,144701.95,0.0001,99.9518,7802,sample_1000
EFECTO TÓXICO DEL PLOMO Y SUS COMPUESTOS,6,373173.76,0.0001,99.8483,6767,sample_1000
OTRAS ENFERMEDADES INFLAMATORIAS DE LA VAGINA Y DE,2,15317.700000000004,0.0,99.9623,8130,sample_1000
"ENVENENAMIENTO ACCIDENTAL POR, Y EXPOSICIÓN A DISOLVENTES ORGÁNICOS E HIDROCARBUROS HALOGENADOS Y SUS VAPORES, LUGAR NO ESPECIFICADO",3,59953.54,0.0001,99.9369,7653,sample_1000
TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL PIE Y DEL TOBILLO,7,353298.5,0.0001,99.8281,6565,sample_1000
EFECTO TOXICO DE OTRAS SUSTANCIAS NOCIVAS INGERIDAS COMO ALIMENTO: HONGOS INGERIDOS,4,23510.57,0.0001,99.9173,7457,sample_1000
"SÍNDROME URETRAL, NO ESPECIFICADO",6,115956.24,0.0001,99.8548,6832,sample_1000
ERISIPELOIDE,4,2664808.17,0.0001,99.9176,7460,sample_1000
EFECTOS ADVERSOS DE LA VACUNA BCG,3,70308.37,0.0001,99.9328,7612,sample_1000
PRESENCIA DE DISPOSITIVO PARA DRENAJE DE LÍQUIDO CEFALORRAQUÍDEO,2,4705.58,0.0,99.9623,7919,sample_1000
OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOÁCIDOS DE CADENA RAMIFICADA,4,26541.02,0.0001,99.8969,7253,sample_1000
"VÍCTIMA DE RAYO, VIVIENDA",5,453498.44,0.0001,99.8902,7186,sample_1000
PERIOSTITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE,7,40193.6,0.0001,99.8234,6518,sample_1000
NACIDOS VIVOS SEGUN LUGAR DE NACIMIENTO,8,56399.31,0.0002,99.8173,6472,sample_1000
"OTRAS INFECCIONES VIRALES DEL SISTEMA NERVIOSO CENTRAL, NO CLASIFICADAS EN OTRA PARTE",6,1108374.86,0.0001,99.8515,6799,sample_1000
ELEVACIÓN DE LOS NIVELES DE TRANSAMINASAS O DESHIDROGENASA LÁCTICA [DHL],9,146736.21000000002,0.0002,99.7627,6199,sample_1000
"OTRAS COMPLICACIONES VENOSAS CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTÓPICO Y AL EMBARAZO MOLAR",5,57466.25,0.0001,99.8854,7138,sample_1000
CEGUERA Y DEFICIENCIA VISUAL (BINICULAR O MONOCULAR),2,39755.53,0.0,99.9623,8249,sample_1000
"COMPLICACIONES CONSECUTIVAS AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO MOLAR",3,25942.13,0.0001,99.9507,7791,sample_1000
EFECTO TÓXICO DE ÁCIDOS CORROSIVOS Y SUSTANCIAS ÁCIDAS SIMILARES,3,273580.32,0.0001,99.9248,7532,sample_1000
ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,8,217157.5,0.0002,99.8141,6456,sample_1000
SINDROME VITREO CONSECUTIVO A CIRUGIA DE CATARATA,4,60279.62,0.0001,99.9186,7470,sample_1000
COCCIDIOIDOMICOSIS,9,24327.23,0.0002,99.7753,6262,sample_1000
"TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MÚLTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS, TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO",4,25610.96,0.0001,99.9125,7409,sample_1000
FRAMBESIA,5,474391.74,0.0001,99.8843,7127,sample_1000
HIPERPOTASEMIA,10,675581.95,0.0002,99.7473,6122,sample_1000
OTRAS FIEBRES HEMORRÁGICAS VIRALES ESPECIFICADAS,5,226869.29,0.0001,99.8841,7125,sample_1000
"CONTACTO TRAUMÁTICO CON ANIMALES Y PLANTAS MARINAS VENENOSOS, VIVIENDA",7,43424.73,0.0001,99.8326,6610,sample_1000
OTROS TRASTORNOS DEL METABOLISMO DE LOS AMINOACIDOS,3,95700.73,0.0001,99.9447,7731,sample_1000
"OTROS TRAUMATISMOS DE MIEMBRO SUPERIOR, NIVEL NO ESPECIFICADO",4,51691.56,0.0001,99.9063,7347,sample_1000
TRAUMATISMO DE OTROS NERVIOS A NIVEL DEL HOMBRO Y DEL BRAZO,8,123062.24,0.0002,99.7957,6364,sample_1000
TRAUMATISMO DEL ARCO PALMAR SUPERFICIAL,8,61793.99,0.0002,99.8055,6413,sample_1000
CALCIFICACION Y OSIFICACION DEL MUSCULO,4,99183.29,0.0001,99.8995,7279,sample_1000
PERIARTRITIS DE LA MUÑECA,3,70966.97,0.0001,99.9338,7622,sample_1000
"PEATÓN LESIONADO EN ACCIDENTE DE TRÁNSITO QUE INVOLUCRA OTROS VEHÍCULOS DE MOTOR, Y LOS NO ESPECIFICADOS",6,88080.79000000001,0.0001,99.8454,6738,sample_1000
MOTOCICLISTA LESIONADO POR COLISION CON VEHICULO DE MOTOR DE DOS O TRES RUEDAS,3,8812.77,0.0001,99.9475,7759,sample_1000
MAL FUNCIONAMIENTO DE ESTOMA EXTERNO DE VÍAS URINARIAS,6,133424.14,0.0001,99.8618,6902,sample_1000
ARTRITIS EN LA ENFERMEDAD DE LYME (A69.2Å),2,65679.42,0.0,99.9623,7927,sample_1000
"PRURITO, NO ESPECIFICADO",4,16266.61,0.0001,99.9078,7362,sample_1000
OSTEOPATÍA EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS EN OTRA PARTE,7,367033.06,0.0001,99.8399,6683,sample_1000
ATENCIÓN DE ILEOSTOMÍA,8,5539652.23,0.0002,99.8179,6475,sample_1000
TRAUMATISMO DE LA VENA POPLÍTEA,4,0.0,0.0001,99.8949,7233,sample_1000
PARÁLISIS FACIAL DE NEURONA MOTORA SUPERIOR,2,44268.21,0.0,99.9623,8223,sample_1000
