causa,nivel,justificacion_medica,cie10,confianza
"DIABETES MELLITUS TIPO 1, CON CETOACIDOSIS",3,"Cetoacidosis diabética. Emergencia metabólica que requiere UCI. Insulina IV y corrección hidroelectrolítica",E10.1,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS SITIOS ESPECIFICADOS",3,"Tumor de etiología incierta que requiere oncología especializada. Biopsia y estudio histopatológico complejo",D48.7,media
"TUMOR MALIGNO DEL TESTÍCULO NO DESCENDIDO",3,"Cáncer testicular que requiere urología oncológica. Orquiectomía y quimioterapia según estadificación",C62.0,alta
"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",1,"Intoxicación alimentaria leve con manejo ambulatorio. Hidratación oral y sintomáticos",A05.9,alta
"DEDO EN GATILLO",2,"Tenosinovitis estenosante que requiere liberación quirúrgica. Procedimiento ambulatorio o estancia breve",M65.3,alta
"CATARATA TRAUMÁTICA",2,"Catarata postraumática que requiere facoemulsificación quirúrgica. Cirugía oftalmológica programada",H26.1,alta
"HIPERTROFIA DE LAS ADENOIDES",2,"Hipertrofia adenoidea que requiere adenoidectomía. Cirugía otorrinolaringológica pediátrica 1 día",J35.2,alta
"FISURA ANAL, NO ESPECIFICADA",1,"Fisura anal con manejo conservador ambulatorio inicial. Analgésicos tópicos y laxantes",K60.2,alta
"TERMINACIÓN DEL EMBARAZO, FETO Y RECIÉN NACIDO",1,"Código para productos de gestación interrumpida. Atención neonatal variable según circunstancias",P96.4,media
"DIABETES MELLITUS INSULINODEPENDIENTE CON COMA",3,"Coma diabético hiperosmolar o cetoacidótico. Requiere UCI metabólica. Terapia intensiva",E10.0,alta
"BRONQUIOLITIS AGUDA DEBIDA A VIRUS SINCITIAL RESPIRATORIO",2,"Bronquiolitis en lactantes que requiere hospitalización. Oxigenoterapia y vigilancia respiratoria 3-7 días",J21.0,alta
"FRACTURA DE VÉRTEBRA LUMBAR",2,"Fractura vertebral que requiere hospitalización ortopédica. Manejo del dolor y posible estabilización quirúrgica",S32.0,alta
"TRAUMATISMO SUPERFICIAL DE LA CABEZA, PARTE NO ESPECIFICADA",1,"Lesión menor de cuero cabelludo. Curación ambulatoria simple sin complicaciones",S00.9,alta
"PARTO POR CESÁREA CON HISTERECTOMÍA",3,"Cesárea complicada con histerectomía obstétrica. Requiere UCI o cuidados intensivos. Hemorragia severa",O82.2,alta
"URTICARIA ALÉRGICA",1,"Reacción alérgica cutánea con manejo ambulatorio. Antihistamínicos y evitar alérgeno",L50.0,alta
"FIBRILACIÓN Y ALETEO VENTRICULAR",3,"Arritmia ventricular maligna que requiere UCI cardiológica. Desfibrilación urgente y antiarrítmicos IV",I49.0,alta
"BRONQUIOLITIS AGUDA, NO ESPECIFICADA",2,"Bronquiolitis que requiere hospitalización pediátrica. Soporte respiratorio 3-5 días",J21.9,alta
"COXARTROSIS, NO ESPECIFICADA",2,"Artrosis de cadera severa que puede requerir artroplastia total. Cirugía ortopédica mayor",M16.9,alta
"CONSOLIDACIÓN DEFECTUOSA DE FRACTURA",2,"Complicación ortopédica que requiere osteotomía correctiva. Cirugía programada",M84.0,alta
"EPILEPSIA",3,"Trastorno convulsivo crónico que requiere neurología especializada. Manejo con antiepilépticos múltiples",G40.9,alta
"OTROS TRASTORNOS DE DISCO CERVICAL",2,"Hernia discal cervical que puede requerir cirugía descompresiva. Neurocirugía programada",M50.8,alta
"MIGRAÑA, NO ESPECIFICADA",1,"Cefalea primaria con manejo ambulatorio. Triptanos y profilaxis neurológica",G43.9,alta
"SÍNDROME DE LA ARTICULACIÓN CONDROCOSTAL [TIETZE]",1,"Condritis costal benigna con manejo ambulatorio. Antiinflamatorios y analgesia",M94.0,alta
"FARINGITIS AGUDA, NO ESPECIFICADA",1,"Infección faríngea con manejo ambulatorio. Antibióticos orales si es bacteriana",J02.9,alta
"SÍNDROME SECO [SJÖGREN]",3,"Enfermedad autoinmune que requiere reumatología de alta especialidad. Inmunosupresores y manejo multidisciplinario",M35.0,alta
"TRASTORNO DE MENISCO DEBIDO A DESGARRO O LESIÓN ANTIGUA",2,"Lesión meniscal que requiere artroscopía de rodilla. Cirugía ortopédica programada 1-2 días",M23.2,alta
"OTROS TRAUMATISMOS DEL PIE Y DEL TOBILLO, ESPECIFICADOS",1,"Traumatismos menores de pie/tobillo con manejo conservador ambulatorio",S99.8,media
"EXAMEN GINECOLÓGICO (GENERAL) (DE RUTINA)",1,"Revisión ginecológica preventiva ambulatoria. Papanicolaou y exploración",Z01.4,alta
"DEFORMIDAD ADQUIRIDA DE LA NARIZ",2,"Deformidad nasal que requiere rinoplastia. Cirugía otorrinolaringológica programada",M95.0,alta
"HERNIA HIATAL CONGÉNITA",2,"Hernia hiatal que puede requerir funduplicatura. Cirugía gastrointestinal programada",Q40.1,alta
"HIDROCELE, NO ESPECIFICADO",2,"Hidrocele que requiere hidrocelectomía quirúrgica. Cirugía urológica ambulatoria o estancia breve",N43.3,alta
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ÚTERO",3,"Tumor uterino que requiere oncología ginecológica. Biopsia y posible histerectomía según patología",D39.0,alta
"CISTOCELE",2,"Prolapso vesical que requiere colporrafia quirúrgica. Cirugía ginecológica programada",N81.1,alta
"INFECCIÓN AGUDA DE LAS VÍAS RESPIRATORIAS SUPERIORES, NO ESPECIFICADA",1,"Infección viral de vías respiratorias altas. Manejo sintomático ambulatorio",J06.9,alta
"TUMOR MALIGNO DEL COLON SIGMOIDE",3,"Cáncer de colon sigmoides que requiere oncología de alta especialidad. Sigmoidectomía y quimioterapia",C18.7,alta
"ISQUEMIA CEREBRAL TRANSITORIA, SIN OTRA ESPECIFICACIÓN",3,"Ataque isquémico transitorio que requiere neurología vascular urgente. Estudio etiológico y antiagregación",G45.9,alta
"ABSCESO ISQUIORRECTAL",2,"Absceso perianal que requiere drenaje quirúrgico urgente. Cirugía proctológica 1-2 días",K61.3,alta
"CEFALEA VASCULAR, NCOP",1,"Cefalea vascular con manejo ambulatorio. Analgésicos y seguimiento neurológico",G44.1,alta
"HEMORROIDES TROMBOSADAS NO ESPECIFICADAS",2,"Hemorroides complicadas con trombosis que pueden requerir hemorroidectomía urgente",K64.5,alta
"SÍNDROME MUCOCUTÁNEO LINFONODULAR [KAWASAKI]",3,"Enfermedad de Kawasaki que requiere UCI pediátrica. Inmunoglobulina IV urgente para prevenir aneurismas coronarios",M30.3,alta
"LINFOMA DE HODGKIN CON PREDOMINIO LINFOCÍTICO NODULAR",3,"Linfoma que requiere hematología-oncología de alta especialidad. Quimioterapia y posible radioterapia",C81.0,alta
"PANCREATITIS AGUDA",3,"Inflamación pancreática aguda que requiere UCI o medicina interna. Soporte hemodinámico y nutricional",K85.9,alta
"INFLUENZA CON NEUMONÍA, DEBIDA A OTRO VIRUS DE LA INFLUENZA ESTACIONAL IDENTIFICADO",2,"Neumonía por influenza que requiere hospitalización. Antivirales y soporte respiratorio 5-7 días",J10.0,alta
"OTRAS SINOVITIS Y TENOSINOVITIS",1,"Inflamación articular/tendinosa con manejo ambulatorio. Antiinflamatorios y fisioterapia",M65.8,alta
"LUXACIÓN DEL CODO, NO ESPECIFICADA",2,"Luxación de codo que requiere reducción ortopédica bajo sedación. Hospitalización breve 1-2 días",S53.1,alta
"ENFERMEDAD NO ESPECIFICADA DE LOS TEJIDOS DENTALES DUROS",1,"Patología dental inespecífica con tratamiento odontológico ambulatorio",K03.9,media
"CALACIO [CHALAZIÓN]",1,"Quiste meibomiano benigno. Drenaje ambulatorio o resolución espontánea",H00.1,alta
"SINDROME DEL COLON IRRITABLE",1,"Trastorno funcional intestinal con manejo ambulatorio. Dieta y moduladores intestinales",K58.9,alta
"HERIDA DEL PÁRPADO Y DE LA REGIÓN PERIOCULAR",2,"Herida palpebral que puede requerir sutura quirúrgica oftalmológica. Riesgo de lesión ocular",S01.1,alta
