causa,frecuencia,monto_total,pct_cobertura,pct_acumulado,rango
OTRAS ENFERMEDADES ESPECIFICADAS DE LOS TEJIDOS DUROS DE LOS DIENTES,1107,7293420.0,0.0235,82.4351,549
"TESTÍCULO NO DESCENDIDO, SIN OTRA ESPECIFICACIÓN",1105,41475092.15,0.0234,82.4585,550
"TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMÓN, PARTE NO ESPECIFICADA",1090,274906605.5,0.0231,82.4816,551
TUMOR MALIGNO DEL CARDIAS,1088,149581949.38,0.0231,82.5047,552
CELULITIS DE OTROS SITIOS,1087,70722989.69,0.0231,82.5278,553
RINITIS ALERGICA Y VASOMOTORA,1082,9518778.72,0.023,82.5508,554
SÍNDROME DE FELTY,1079,44080098.48,0.0229,82.5737,555
OTRAS CATARATAS SENILES,1078,54572869.14,0.0229,82.5966,556
OSTEOPOROSIS SIN FRACTURA PATOLOGICA,1076,12941048.36,0.0228,82.6194,557
PIGMENTACIONES Y DEPÓSITOS EN LA CÓRNEA,1076,35344850.92,0.0228,82.6422,558
TRASTORNOS DEL TESTÍCULO Y DEL EPIDÍDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE,1074,29124078.95,0.0228,82.665,559
LUXACIÓN DE LA RODILLA,1066,76088369.44,0.0226,82.6876,560
LITIASIS URINARIA EN ESQUISTOSOMIASIS [BILHARZIASIS],1058,52333527.12,0.0224,82.71,561
OTRAS OBSTRUCCIONES DEL INTESTINO,1054,86157166.02,0.0224,82.7324,562
OTROS TRAUMATISMOS ESPECIFICADOS DEL HOMBRO Y DEL BRAZO,1051,65101527.41,0.0223,82.7547,563
"INFECCION DEBIDA A CORONAVIRUS, SIN OTRA ESPECIFICACION",1049,116011701.08,0.0223,82.777,564
"DEGENERACIÓN GRASA DEL HÍGADO, NO CLASIFICADA EN OTRA PARTE",1048,57262392.44,0.0222,82.7992,565
OTROS QUISTES DE LA BOLSA SEROSA,1048,32909738.43,0.0222,82.8214,566
TUMOR MALIGNO DEL TRÍGONO VESICAL,1047,91775940.5,0.0222,82.8436,567
COXARTROSIS [ARTROSIS DE LA CADERA],1047,118238046.8,0.0222,82.8658,568
RINITIS CRÓNICA,1046,16213483.27,0.0222,82.888,569
"DIABETES MELLITUS TIPO 1, CON COMPLICACIONES RENALES",1044,76706427.8,0.0222,82.9102,570
"FIBRILACIÓN Y ALETEO AURICULAR, NO ESPECIFICADO",1044,121347162.88,0.0222,82.9324,571
"TRASTORNO DE DISCO CERVICAL, NO ESPECIFICADO",1043,142740790.21,0.0221,82.9545,572
"DISPLASIA CERVICAL SEVERA, NO CLASIFICADA EN OTRA PARTE",1042,44064634.46,0.0221,82.9766,573
"TESTÍCULO NO DESCENDIDO, UNILATERAL",1039,28022516.14,0.022,82.9986,574
TRASTORNOS DE DISCO CERVICAL,1038,140176474.61,0.022,83.0206,575
OTITIS MEDIA AGUDA SEROSA,1037,24180827.4,0.022,83.0426,576
"TUMOR MALIGNO DEL TESTÍCULO, NO ESPECIFICADO",1034,97648960.34,0.0219,83.0645,577
"SÍNDROME NEFRÓTICO, ANOMALÍA GLOMERULAR MÍNIMA",1033,58680651.44,0.0219,83.0864,578
CONTUSIÓN DE DEDO(S) DE LA MANO CON DAÑO DE LA(S) UÑA(S),1031,16259289.9,0.0219,83.1083,579
OTRAS DEGENERACIONES ESPECIFICADAS DE DISCO INTERVERTEBRAL,1029,190087638.99,0.0218,83.1301,580
"DIABETES MELLITUS TIPO 2, CON COMPLICACIONES RENALES",1021,55669839.61,0.0217,83.1518,581
FRACTURA DE LA BÓVEDA DEL CRÁNEO,1020,66397097.69,0.0216,83.1734,582
LUXACIÓN DE DEDOS DE LA MANO,1014,23607252.63,0.0215,83.1949,583
HEMORROIDES EXTERNAS TROMBOSADAS,1008,34212476.91,0.0214,83.2163,584
CONDROMALACIA,1007,39170066.72,0.0214,83.2377,585
ÍLEO PARALÍTICO,1007,70300686.69,0.0214,83.2591,586
DOLOR ABDOMINAL LOCALIZADO EN PARTE SUPERIOR,1005,35548710.21,0.0213,83.2804,587
FRACTURA DE OTRAS PARTES DEL HOMBRO Y DEL BRAZO,1002,64093188.2,0.0213,83.3017,588
CONTUSIÓN DE DEDO(S) DEL PIE SIN DAÑO DE LA(S) UÑA(S),1001,7704898.58,0.0212,83.3229,589
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCÉFALO, SUPRATENTORIAL",1000,195940819.7,0.0212,83.3441,590
CONTUSIÓN DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DEL PIE,996,11817704.25,0.0211,83.3652,591
RETINOPATÍAS DEL FONDO Y CAMBIOS VASCULARES RETINIANOS,994,35610442.46,0.0211,83.3863,592
ENTERITIS DEBIDA A SALMONELLA,992,34705453.72,0.021,83.4073,593
TUMOR BENIGNO DE SITIO NO ESPECIFICADO,990,43365670.66,0.021,83.4283,594
LEUCEMIA MIELOBLÁSTICA AGUDA [LMA],987,230774420.11,0.0209,83.4492,595
PÓLIPO RECTAL,983,27554897.47,0.0209,83.4701,596
CARCINOMA IN SITU DE LA GLÁNDULA TIROIDES Y DE OTRAS GLÁNDULAS ENDOCRINAS,980,46899373.87,0.0208,83.4909,597
FISURA ANAL CRÓNICA,976,24759032.41,0.0207,83.5116,598
PESO EXTREMADAMENTE BAJO AL NACER,976,155262588.43,0.0207,83.5323,599
CÁLCULO EN LA VEJIGA,976,53862340.0,0.0207,83.553,600
PÚRPURA TROMBOCITOPÉNICA IDIOPÁTICA,975,93721055.66,0.0207,83.5737,601
TORSIÓN DEL TESTÍCULO,973,28256362.79,0.0206,83.5943,602
"DEFORMIDAD EN VALGO, NO CLASIFICADA EN OTRA PARTE",973,57590522.94,0.0206,83.6149,603
HEMORROIDES EXTERNAS SIN COMPLICACIÓN,972,34781563.16,0.0206,83.6355,604
"SÍNDROME DE DOWN, NO ESPECIFICADO",971,132736407.59,0.0206,83.6561,605
HIPERTENSIÓN PULMONAR PRIMARIA,970,103013204.86,0.0206,83.6767,606
DEFORMIDAD DE DEDO(S) DE LA MANO,965,33710466.74,0.0205,83.6972,607
AMPUTACIÓN TRAUMÁTICA DE OTRO DEDO ÚNICO (COMPLETA) (PARCIAL),964,37714321.97,0.0205,83.7177,608
OTROS TRASTORNOS ESPECIFICADOS DE LOS MÚSCULOS,961,31591926.09,0.0204,83.7381,609
OTROS CARCINOMAS IN SITU DE LA MAMA,954,100047500.33,0.0202,83.7583,610
DETENCIÓN DEL CRECIMIENTO EPIFISARIO,952,37803582.65,0.0202,83.7785,611
"CAÍDA EN O DESDE ESCALERAS MANUALES, VIVIENDA",952,81083379.63,0.0202,83.7987,612
PROCTITIS (CRÓNICA) ULCERATIVA,952,25607157.48,0.0202,83.8189,613
"OSTEOPOROSIS NO ESPECIFICADA, SIN FRACTURA PATOLÓGICA",948,14909179.27,0.0201,83.839,614
OTRAS ENFERMEDADES ESPECIFICADAS DEL ESÓFAGO,946,48829160.8,0.0201,83.8591,615
TIROIDITIS AUTOINMUNE,945,12821634.72,0.0201,83.8792,616
EMBOLIA Y TROMBOSIS DE ARTERIAS DE LOS MIEMBROS INFERIORES,942,86005765.72,0.02,83.8992,617
"INCONTINENCIA URINARIA, NO ESPECIFICADA",941,28757477.3,0.02,83.9192,618
HIPERSECRECIÓN DE CALCITONINA,940,23474727.580000002,0.0199,83.9391,619
"ANGINA DE PECHO, NO ESPECIFICADA",940,93062989.15,0.0199,83.959,620
CARCINOMA IN SITU DEL COLON,937,86954825.15,0.0199,83.9789,621
"ENFERMEDAD INFLAMATORIA PÉLVICA FEMENINA, NO ESPECIFICADA",936,42252366.82,0.0199,83.9988,622
QUISTE DE LA GLÁNDULA DE BARTHOLIN,935,17892760.63,0.0198,84.0186,623
URETROCELE FEMENINO,932,38419893.6,0.0198,84.0384,624
"HERIDA DE DEDO(S) DE LA MANO, CON DAÑO DE LA(S) UÑA(S)",931,18662239.54,0.0198,84.0582,625
TUMOR BENIGNO LIPOMATOSO DE OTROS SITIOS ESPECIFICADOS,931,26713106.23,0.0198,84.078,626
"TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL HÍGADO, DE LA VESÍCULA BILIAR Y DEL CONDUCTO BILIAR",929,169629338.67,0.0197,84.0977,627
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PRÓSTATA,928,85785281.42,0.0197,84.1174,628
INCOMPETENCIA DEL CUELLO DEL ÚTERO,923,21282739.740000002,0.0196,84.137,629
PREECLAMPSIA SEVERA,921,55151753.78,0.0195,84.1565,630
"ORQUITIS, EPIDIDIMITIS Y ORQUIEPIDIDIMITIS SIN ABSCESO",919,27311031.31,0.0195,84.176,631
FRACTURA DE LOS HUESOS DEL DEDO GORDO DEL PIE,918,19713562.99,0.0195,84.1955,632
"TAQUICARDIA, NO ESPECIFICADA",918,72444898.36,0.0195,84.215,633
PIELONEFRITIS CRÓNICA OBSTRUCTIVA,916,45270417.85,0.0194,84.2344,634
OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS,913,120703031.0,0.0194,84.2538,635
"HEPATITIS AGUDA TIPO A, CON COMA HEPÁTICO",911,49775963.95,0.0193,84.2731,636
TRAUMATISMOS SUPERFICIALES QUE AFECTAN OTRAS COMBINACIONES DE REGIONES DEL CUERPO,908,53110777.96,0.0193,84.2924,637
ESGUINCES Y TORCEDURAS DE OTROS SITIOS Y LOS NO ESPECIFICADOS DEL PIE,907,9963795.36,0.0192,84.3116,638
"DIABETES MELLITUS TIPO 2, CON OTRAS COMPLICACIONES ESPECIFICADAS",907,58137234.89,0.0192,84.3308,639
RUPTURA TRAUMÁTICA DE DISCO INTERVERTEBRAL LUMBAR,907,62889721.29,0.0192,84.35,640
TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA,906,93928002.4,0.0192,84.3692,641
"CÓLICO RENAL, NO ESPECIFICADO",904,39096941.18,0.0192,84.3884,642
"OTRAS ARTROPATÍAS ESPECÍFICAS, NO CLASIFICADAS EN OTRA PARTE",903,91751807.72,0.0192,84.4076,643
MASA NO ESPECIFICADA EN LA MAMA,902,32831543.78,0.0191,84.4267,644
OTRAS FORMAS DE ENFERMEDAD ISQUÉMICA AGUDA DEL CORAZÓN,901,59946067.660000004,0.0191,84.4458,645
ESGUINCES Y TORCEDURAS DEL CODO,892,18046871.25,0.0189,84.4647,646
FRACTURA DE LA DIÁFISIS DEL FÉMUR,892,75698103.69,0.0189,84.4836,647
BRONQUITIS AGUDA,888,27160737.19,0.0188,84.5024,648
"NEUMONIA, ORGANISMO NO ESPECIFICADO",886,95212502.37,0.0188,84.5212,649
"FRACTURA DE LA PIERNA, PARTE NO ESPECIFICADA",885,71610454.25,0.0188,84.54,650
COLANGITIS,878,78883662.18,0.0186,84.5586,651
GASTRITIS CRÓNICA SUPERFICIAL,877,12703738.81,0.0186,84.5772,652
"LINFOMA NO HODGKIN, NO ESPECIFICADO",874,144815905.41,0.0185,84.5957,653
"ENFERMEDAD ISQUÉMICA AGUDA DEL CORAZÓN, NO ESPECIFICADA",872,92527591.13,0.0185,84.6142,654
HIPERPROLACTINEMIA,869,9388308.92,0.0184,84.6326,655
QUISTE EPIDÉRMICO,866,18931163.61,0.0184,84.651,656
OBESIDAD,865,66536134.44,0.0184,84.6694,657
OTRAS HEMORRAGIAS UTERINAS O VAGINALES ANORMALES ESPECIFICADAS,862,41395449.79,0.0183,84.6877,658
ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO SIN PERFORACIÓN NI ABSCESO,859,59852550.06,0.0182,84.7059,659
EMBOLIA Y TROMBOSIS DE VENA NO ESPECIFICADA,858,94252939.67,0.0182,84.7241,660
AMIGDALITIS ESTREPTOCÓCICA,854,14805827.87,0.0181,84.7422,661
QUISTE CEREBRAL,848,76954418.22,0.018,84.7602,662
FRACTURA DEL ANTEBRAZO,846,48819600.73,0.0179,84.7781,663
TUMOR BENIGNO DE LAS MENINGES CEREBRALES,843,112708546.54,0.0179,84.796,664
COLITIS ULCERATIVA,842,30909205.58,0.0179,84.8139,665
QUISTE SOLITARIO DE LA MAMA,838,18913494.16,0.0178,84.8317,666
OTROS TRASTORNOS ARTICULARES ESPECIFICADOS,835,71277544.21,0.0177,84.8494,667
OTRAS CATARATAS,834,32334259.06,0.0177,84.8671,668
ARRITMIA POR REENTRADA VENTRICULAR,833,78961352.77,0.0177,84.8848,669
"CAÍDA NO ESPECIFICADA, VIVIENDA",830,52324309.52,0.0176,84.9024,670
PROSTATITIS CRÓNICA,830,17078502.14,0.0176,84.92,671
"TUMOR BENIGNO DEL TEJIDO CONJUNTIVO Y DE OTROS TEJIDOS BLANDOS DE CABEZA, CARA Y CUELLO",826,36234170.56,0.0175,84.9375,672
OTROS TRAUMATISMOS INTRACRANEALES,825,60924993.83,0.0175,84.955,673
ESTRECHEZ URETRAL POSTRAUMÁTICA,823,43312447.43,0.0175,84.9725,674
DISPLASIA CERVICAL MODERADA,822,21328679.8,0.0174,84.9899,675
HERNIA DIAFRAGMATICA,821,42227357.54,0.0174,85.0073,676
LEIOMIOMA SUBSEROSO DEL ÚTERO,820,48559355.32,0.0174,85.0247,677
ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,819,61224472.88,0.0174,85.0421,678
CARCINOMA IN SITU DEL RECTO,819,81902928.42999999,0.0174,85.0595,679
"DERMATITIS ATÓPICA, NO ESPECIFICADA",816,32828106.04,0.0173,85.0768,680
MIGRAÑA COMPLICADA,816,19571246.49,0.0173,85.0941,681
PIE PLANO [PES PLANUS] (ADQUIRIDO),815,56809398.11,0.0173,85.1114,682
MIASTENIA GRAVIS,814,68497826.25,0.0173,85.1287,683
"ENFERMEDAD DE CROHN, NO ESPECIFICADA",813,51652198.43,0.0172,85.1459,684
TUMOR BENIGNO DEL EPIDÍDIMO,813,19527748.2,0.0172,85.1631,685
"ENFERMEDAD CEREBROVASCULAR, NO ESPECIFICADA",813,72806259.29,0.0172,85.1803,686
TUMOR BENIGNO DE LA GLÁNDULA TIROIDES,812,31065702.67,0.0172,85.1975,687
ESCLEROSIS SISTÉMICA PROGRESIVA,811,56253189.72,0.0172,85.2147,688
INSUFICIENCIA RENAL AGUDA CON NECROSIS TUBULAR,810,78490220.52,0.0172,85.2319,689
"ÚLCERA DUODENAL, AGUDA CON HEMORRAGIA",808,50625625.089999996,0.0171,85.249,690
"INFLUENZA CON OTRAS MANIFESTACIONES RESPIRATORIAS, DEBIDA A VIRUS DE LA INFLUENZA ESTACIONAL IDENTIFICADO",807,32184699.22,0.0171,85.2661,691
"INFLUENZA CON NEUMONIA, DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO",807,37307530.86,0.0171,85.2832,692
HIPERTROFIA DE LA MAMA,806,34610327.87,0.0171,85.3003,693
CARCINOMA IN SITU DE LA VEJIGA,806,81781960.15,0.0171,85.3174,694
ECTOPIA TESTICULAR,804,14264482.63,0.0171,85.3345,695
EXAMEN ODONTOLÓGICO,804,3003449.31,0.0171,85.3516,696
FRACTURA DE OTRAS PARTES DEL ANTEBRAZO,804,43650110.67,0.0171,85.3687,697
"DIABETES MELLITUS, NO ESPECIFICADA",803,30943138.18,0.017,85.3857,698
ENFERMEDAD CARDÍACA HIPERTENSIVA CON INSUFICIENCIA CARDÍACA (CONGESTIVA),801,52752305.78,0.017,85.4027,699
"TUMOR MALIGNO DEL ESTÓMAGO, PARTE NO ESPECIFICADA",801,132382480.05,0.017,85.4197,700
"ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA, NO ESPECIFICADA",798,42189599.42,0.0169,85.4366,701
MASTOPATÍA QUÍSTICA DIFUSA,797,16479651.36,0.0169,85.4535,702
"CÁLCULO DE LAS VÍAS URINARIAS INFERIORES, NO ESPECIFICADO",795,54086596.12,0.0169,85.4704,703
FRACTURA DE VÉRTEBRA TORÁCICA,795,94376640.61,0.0169,85.4873,704
"ÚLCERA GASTRICA, AGUDA CON PERFORACIÓN",791,37897292.1,0.0168,85.5041,705
"INMUNODEFICIENCIA, NO ESPECIFICADA",789,81225049.04,0.0167,85.5208,706
"ARRITMIA CARDÍACA, NO ESPECIFICADA",786,68715667.43,0.0167,85.5375,707
"ENFERMEDAD ISQUÉMICA CRÓNICA DEL CORAZÓN, NO ESPECIFICADA",786,76692043.05,0.0167,85.5542,708
ABSCESO PERIAMIGDALINO,785,34760592.61,0.0167,85.5709,709
PÓLIPO DEL CUELLO DEL ÚTERO,785,23673315.1,0.0167,85.5876,710
CARCINOMA IN SITU DEL ENDOCÉRVIX,784,72080621.02,0.0166,85.6042,711
OTRAS NEUMONÍAS BACTERIANAS,782,65175590.62,0.0166,85.6208,712
HIDROCELE ENQUISTADO,781,20449138.22,0.0166,85.6374,713
CONTUSIÓN DE OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA PIERNA,776,21316047.61,0.0165,85.6539,714
"INFECCIÓN DEBIDA A PAPOVAVIRUS,DE SITIO NO ESPECIFICADO",774,16422491.16,0.0164,85.6703,715
DIÁSTASIS DEL MÚSCULO,773,22718770.73,0.0164,85.6867,716
OTRAS ARRITMIAS CARDIACAS ESPECIFICADAS,769,91274493.19,0.0163,85.703,717
OTRAS FORMAS ESPECIFICADAS DE CATARATA,767,32980554.46,0.0163,85.7193,718
TRAUMATISMO NO ESPECIFICADO DE LA MUÑECA Y DE LA MANO,767,29568353.89,0.0163,85.7356,719
OTROS ACNÉS,767,4040213.8,0.0163,85.7519,720
ADENOVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPÍTULOS,766,149839242.47,0.0163,85.7682,721
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES CEREBRALES,765,104271005.41,0.0162,85.7844,722
PÓLIPO ANAL,763,22546957.65,0.0162,85.8006,723
ESPONDILITIS ANQUILOSANTE,760,51192189.76,0.0161,85.8167,724
ENDOMETRIOSIS,759,46645398.31,0.0161,85.8328,725
"OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL ESPECIFICADAS, CON OBSTRUCCIÓN, SIN GANGRENA",753,42333141.81,0.016,85.8488,726
"LEUCEMIA MIELOIDE CRÓNICA [LMC], BCR/ABL-POSITIVO",751,89310656.93,0.0159,85.8647,727
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL MEDIASTINO,750,97048557.41,0.0159,85.8806,728
SÍNDROME DE ABDUCCIÓN DOLOROSA DEL HOMBRO,749,42466222.88,0.0159,85.8965,729
OTRAS SINUSITIS CRÓNICAS,746,27389781.3,0.0158,85.9123,730
"HERNIA ABDOMINAL NO ESPECIFICADA, CON OBSTRUCCIÓN, SIN GANGRENA",744,41738117.23,0.0158,85.9281,731
EXFOLIACIÓN DE LOS DIENTES DEBIDA A CAUSAS SISTÉMICAS,738,6143873.46,0.0157,85.9438,732
"FASCITIS, NO CLASIFICADA EN OTRA PARTE",738,43440880.07,0.0157,85.9595,733
TIROIDITIS AGUDA,737,10500818.61,0.0156,85.9751,734
NEURONITIS VESTIBULAR,734,16515022.06,0.0156,85.9907,735
FRACTURA DEL PRIMER METACARPIANO,733,25437642.0,0.0156,86.0063,736
ENFERMEDAD RENAL HIPERTENSIVA CON INSUFICIENCIA RENAL,732,52494728.18,0.0155,86.0218,737
LUPUS ERITEMATOSO SISTEMICO,730,19424237.12,0.0155,86.0373,738
OTRAS COLITIS Y GASTROENTERITIS NO INFECCIOSAS,727,15362145.48,0.0154,86.0527,739
CELULITIS DE LOS DEDOS DE LA MANO Y DEL PIE,726,35947084.15,0.0154,86.0681,740
HERIDA DE OTRAS PARTES DE LA MUÑECA Y DE LA MANO,724,16829823.43,0.0154,86.0835,741
OTRAS INSUFICIENCIAS RENALES CRÓNICAS,720,58044703.28,0.0153,86.0988,742
ENFERMEDAD DE MENIERE,716,11207784.42,0.0152,86.114,743
"ESTRECHEZ URETRAL, NO ESPECIFICADA",716,41878883.5,0.0152,86.1292,744
FRACTURAS MÚLTIPLES DE HUESOS METACARPIANOS,715,44436484.73,0.0152,86.1444,745
EPICONDILITIS MEDIA,714,17163152.28,0.0151,86.1595,746
OTROS DEFECTOS ESPECIFICADOS DE LA COAGULACIÓN,713,101865832.59,0.0151,86.1746,747
OTROS TRASTORNOS ESPECIFICADOS DEL PENE,713,18617861.38,0.0151,86.1897,748
ESGUINCES Y TORCEDURAS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA MUÑECA Y DE LA MANO,711,13660371.53,0.0151,86.2048,749
ABSCESO DEL HÍGADO,711,72089880.27,0.0151,86.2199,750
OTRAS HEPATITIS VIRALES AGUDAS ESPECIFICADAS,711,35418056.58,0.0151,86.235,751
"ENFERMEDAD DE LA VESÍCULA BILIAR, NO ESPECIFICADA",709,40334368.58,0.015,86.25,752
FRACTURA DE COSTILLA,709,29476534.87,0.015,86.265,753
HERIDA DE LA CABEZA,708,17596444.53,0.015,86.28,754
OTROS DESPLAZAMIENTOS DE DISCO CERVICAL,702,84910181.92,0.0149,86.2949,755
"ICTERICIA NEONATAL, NO ESPECIFICADA",698,25143364.46,0.0148,86.3097,756
TUMOR MALIGNO DE LA URETRA,697,146000983.94,0.0148,86.3245,757
CONTRACTURA MUSCULAR,697,5646624.41,0.0148,86.3393,758
ESTENOSIS HIPERTRÓFICA CONGÉNITA DEL PÍLORO,696,28155653.58,0.0148,86.3541,759
CÁLCULO DE CONDUCTO BILIAR CON COLANGITIS,695,79583875.19,0.0147,86.3688,760
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PELVIS RENAL,695,76449360.86,0.0147,86.3835,761
ESTADOS MENOPÁUSICOS Y CLIMATÉRICOS FEMENINOS,693,4233313.53,0.0147,86.3982,762
EPISTAXIS,693,20125712.41,0.0147,86.4129,763
VAGINITIS AGUDA,692,6121430.68,0.0147,86.4276,764
VITÍLIGO,690,4271037.78,0.0146,86.4422,765
TROMBOCITOPENIA NO ESPECIFICADA,688,52293109.0,0.0146,86.4568,766
OTROS HIPOTIROIDISMOS,688,4820702.7,0.0146,86.4714,767
HIPERPARATIROIDISMO PRIMARIO,685,39674660.85,0.0145,86.4859,768
OTROS TRASTORNOS INFLAMATORIOS DEL PENE,684,15421117.4,0.0145,86.5004,769
LINFOMA DE CÉLULAS GRANDES B DIFUSO,684,100749487.28,0.0145,86.5149,770
"GLAUCOMA, NO ESPECIFICADO",684,10341853.26,0.0145,86.5294,771
