causa_original,causa_corregida,tipo_correccion,similitud,frecuencia,anios,num_anios
ASTIGMATISMO,ASTIGMATISMO,sin_cambio,1.0,16601,"2020,2021,2022,2023,2024",5
"PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE","PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE",sin_cambio,1.0,16466,"2021,2022,2023,2024",4
"INFECCIÓN DE VÍAS URINARIAS, SITIO NO ESPECIFICADO","INFECCIÓN DE VÍAS URINARIAS, SITIO NO ESPECIFICADO",sin_cambio,1.0,16410,"2021,2022,2023,2024",4
INSUFICIENCIA VENOSA (CRÓNICA) (PERIFÉRICA),INSUFICIENCIA VENOSA (CRÓNICA) (PERIFÉRICA),sin_cambio,1.0,14411,"2021,2022,2023,2024",4
"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA","TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",sin_cambio,1.0,14406,"2020,2021,2022,2023,2024",5
GASTRITIS AGUDA HEMORRÁGICA,GASTRITIS AGUDA HEMORRÁGICA,sin_cambio,1.0,14316,"2021,2022,2023,2024",4
LUMBAGO NO ESPECIFICADO,LUMBAGO NO ESPECIFICADO,sin_cambio,1.0,13986,"2020,2021,2022,2023,2024",5
DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,sin_cambio,1.0,13658,"2020,2021,2022,2023,2024",5
"NACIDO VIVO, ÚNICO","NACIDO VIVO, ÚNICO",sin_cambio,1.0,13504,"2021,2022,2023,2024",4
"HERNIA INGUINAL BILATERAL CON OBSTRUCCIÓN, SIN GANGRENA","HERNIA INGUINAL BILATERAL CON OBSTRUCCIÓN, SIN GANGRENA",sin_cambio,1.0,13500,"2021,2022,2023,2024",4
PARTO POR CESAREA ELECTIVA,PARTO POR CESÁREA ELECTIVA,acento,0.99,13215,2020,1
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL OVARIO,sin_cambio,1.0,12837,"2020,2021,2022,2023,2024",5
TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA,sin_cambio,1.0,12791,"2020,2021,2022,2023,2024",5
"COVID-19, virus identificado","COVID-19, VIRUS IDENTIFICADO",normalizacion,1.0,12772,2020,1
HERNIA UMBILICAL SIN OBSTRUCCIÓN NI GANGRENA,HERNIA UMBILICAL SIN OBSTRUCCIÓN NI GANGRENA,sin_cambio,1.0,12695,"2021,2022,2023,2024",4
OTROS TRASTORNOS DE LOS MENISCOS,OTROS TRASTORNOS DE LOS MENISCOS,sin_cambio,1.0,12686,"2020,2021,2022,2023,2024",5
HIPERPLASIA DE LA PRÓSTATA,HIPERPLASIA DE LA PRÓSTATA,sin_cambio,1.0,12581,"2021,2022,2023,2024",4
CONTUSIÓN DE LA RODILLA,CONTUSIÓN DE LA RODILLA,sin_cambio,1.0,12429,"2021,2022,2023,2024",4
OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS,OTRAS ENFERMEDADES INFECCIOSAS Y LAS NO ESPECIFICADAS,sin_cambio,1.0,12398,"2020,2021,2022,2023,2024",5
ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA,ESGUINCES Y TORCEDURAS QUE COMPROMETEN EL LIGAMENTO CRUZADO (ANTERIOR) (POSTERIOR) DE LA RODILLA,sin_cambio,1.0,12063,"2020,2021,2022,2023,2024",5
HEMORROIDES INTERNAS TROMBOSADAS,HEMORROIDES INTERNAS TROMBOSADAS,sin_cambio,1.0,12048,"2020,2021,2022,2023,2024",5
PARTO UNICO POR CESAREA,PARTO UNICO POR CESAREA,sin_cambio,1.0,11900,"2020,2021,2022,2023,2024",5
CONSULTA PARA ATENCIÓN Y SUPERVISIÓN DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS,CONSULTA PARA ATENCIÓN Y SUPERVISIÓN DE LA SALUD DE OTROS NIÑOS O LACTANTES SANOS,sin_cambio,1.0,11741,"2021,2022,2023,2024",4
"DESGARRO DE MENISCOS, PRESENTE","DESGARRO DE MENISCOS, PRESENTE",sin_cambio,1.0,11562,"2020,2021,2022,2023,2024",5
PRUEBA Y AJUSTE DE ANTEOJOS Y LENTES DE CONTACTO,PRUEBA Y AJUSTE DE ANTEOJOS Y LENTES DE CONTACTO,sin_cambio,1.0,11505,"2020,2021,2022,2023,2024",5
CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER,CÁLCULO DEL RIÑÓN CON CÁLCULO DEL URÉTER,sin_cambio,1.0,11498,"2021,2022,2023,2024",4
OTROS TRASTORNOS INTERNOS DE LA RODILLA,OTROS TRASTORNOS INTERNOS DE LA RODILLA,sin_cambio,1.0,11318,"2020,2021,2022,2023,2024",5
OTRAS CONSULTAS ESPECIFICADAS,OTRAS CONSULTAS ESPECIFICADAS,sin_cambio,1.0,11067,"2020,2021,2022,2023,2024",5
OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS,OTROS QUISTES OVÁRICOS Y LOS NO ESPECIFICADOS,sin_cambio,1.0,10820,"2021,2022,2023,2024",4
EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES)(PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,EPILEPSIA Y SÍNDROMES EPILÉPTICOS IDIOPÁTICOS RELACIONADOS CON LOCALIZACIONES (FOCALES)(PARCIALES) Y CON ATAQUES DE INICIO LOCALIZADO,sin_cambio,1.0,10749,"2021,2022,2023,2024",4
"PARTO ÚNICO ESPONTÁNEO, SIN OTRA ESPECIFICACIÓN","PARTO ÚNICO ESPONTÁNEO, SIN OTRA ESPECIFICACIÓN",sin_cambio,1.0,10739,"2021,2022,2023,2024",4
FRACTURA DE LA RÓTULA,FRACTURA DE LA RÓTULA,sin_cambio,1.0,10561,"2021,2022,2023,2024",4
EXAMEN DE LABORATORIO,EXAMEN DE LABORATORIO,sin_cambio,1.0,10145,"2020,2021,2022,2023,2024",5
EMBARAZO ABDOMINAL,EMBARAZO ABDOMINAL,sin_cambio,1.0,10090,"2020,2021,2022,2023,2024",5
"PARTO POR CESAREA, SIN OTRA ESPECIFICACION","PARTO POR CESÁREA, SIN OTRA ESPECIFICACIÓN",acento,0.99,10055,2020,1
OTROS RECIÉN NACIDOS PRETÉRMINO,OTROS RECIÉN NACIDOS PRETÉRMINO,sin_cambio,1.0,9937,"2021,2022,2023,2024",4
DIENTES INCLUIDOS E IMPACTADOS,DIENTES INCLUIDOS E IMPACTADOS,sin_cambio,1.0,9933,"2020,2021,2022,2023,2024",5
DESVIACION DEL TABIQUE NASAL,DESVIACIÓN DEL TABIQUE NASAL,acento,0.99,9890,2020,1
HIPERMETROPÍA,HIPERMETROPÍA,sin_cambio,1.0,9723,"2021,2022,2023,2024",4
FRACTURA DE LOS HUESOS DE LA NARIZ,FRACTURA DE LOS HUESOS DE LA NARIZ,sin_cambio,1.0,9705,"2020,2021,2022,2023,2024",5
"INFECCIÓN DEBIDA A CORONAVIRUS, DE SITIO NO ESPECIFICADO","INFECCIÓN DEBIDA A CORONAVIRUS, DE SITIO NO ESPECIFICADO",sin_cambio,1.0,9416,"2021,2022,2023,2024",4
"HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA","HERNIA INGUINAL UNILATERAL O NO ESPECIFICADA, SIN OBSTRUCCIÓN NI GANGRENA",sin_cambio,1.0,9376,"2021,2022,2023,2024",4
PRESENCIA DE ANTEOJOS Y LENTES DE CONTACTO,PRESENCIA DE ANTEOJOS Y LENTES DE CONTACTO,sin_cambio,1.0,9271,"2021,2022,2023,2024",4
VÁRICES ESCROTALES,VÁRICES ESCROTALES,sin_cambio,1.0,9202,"2021,2022,2023,2024",4
CALCULO DE LA VESICULA BILIAR CON COLECISTITIS AGUDA,CÁLCULO DE LA VESÍCULA BILIAR CON COLECISTITIS AGUDA,acento,0.99,9094,2020,1
MIOPÍA,MIOPÍA,sin_cambio,1.0,9052,"2021,2022,2023,2024",4
INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,INFARTO TRANSMURAL AGUDO DEL MIOCARDIO DE LA PARED ANTERIOR,sin_cambio,1.0,9012,"2020,2021,2022,2023,2024",5
"CONSULTA, NO ESPECIFICADA","CONSULTA, NO ESPECIFICADA",sin_cambio,1.0,8925,"2020,2021,2022,2023,2024",5
RINITIS VASOMOTORA,RINITIS VASOMOTORA,sin_cambio,1.0,8910,"2020,2021,2022,2023,2024",5
"HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA","HERNIA UMBILICAL CON OBSTRUCCIÓN, SIN GANGRENA",sin_cambio,1.0,8814,"2021,2022,2023,2024",4
"PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS","PREPUCIO REDUNDANTE, FIMOSIS Y PARAFIMOSIS",sin_cambio,1.0,8708,"2020,2021,2022,2023,2024",5
"GASTRITIS, NO ESPECIFICADA","GASTRITIS, NO ESPECIFICADA",sin_cambio,1.0,8565,"2020,2021,2022,2023,2024",5
ANGINA INESTABLE,ANGINA INESTABLE,sin_cambio,1.0,8481,"2020,2021,2022,2023,2024",5
OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES,OTROS TRASTORNOS ESPECIFICADOS DE LA NARIZ Y DE LOS SENOS PARANASALES,sin_cambio,1.0,8478,"2020,2021,2022,2023,2024",5
OTRAS GASTRITIS AGUDAS,OTRAS GASTRITIS AGUDAS,sin_cambio,1.0,8477,"2020,2021,2022,2023,2024",5
CATARATA SENIL INCIPIENTE,CATARATA SENIL INCIPIENTE,sin_cambio,1.0,8469,"2020,2021,2022,2023,2024",5
"ARTRITIS REUMATOIDE, NO ESPECIFICADA","ARTRITIS REUMATOIDE, NO ESPECIFICADA",sin_cambio,1.0,8323,"2020,2021,2022,2023,2024",5
QUISTE FOLICULAR DEL OVARIO,QUISTE FOLICULAR DEL OVARIO,sin_cambio,1.0,8298,"2020,2021,2022,2023,2024",5
TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA,TRAUMATISMO DE ESTRUCTURAS MÚLTIPLES DE LA RODILLA,sin_cambio,1.0,8164,"2021,2022,2023,2024",4
CARDIOMIOPATÍA ISQUÉMICA,CARDIOMIOPATÍA ISQUÉMICA,sin_cambio,1.0,8123,"2021,2022,2023,2024",4
HIPERTENSION ESENCIAL (PRIMARIA),HIPERTENSIÓN ESENCIAL (PRIMARIA),acento,0.99,8040,2020,1
FRACTURA DE LA CLAVÍCULA,FRACTURA DE LA CLAVÍCULA,sin_cambio,1.0,7908,"2021,2022,2023,2024",4
"TRAUMATISMO, NO ESPECIFICADO","TRAUMATISMO, NO ESPECIFICADO",sin_cambio,1.0,7840,"2020,2021,2022,2023,2024",5
INSUFICIENCIA RENAL TERMINAL,INSUFICIENCIA RENAL TERMINAL,sin_cambio,1.0,7772,"2020,2021,2022,2023,2024",5
CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS,CÁLCULO DE LA VESÍCULA BILIAR CON OTRA COLECISTITIS,sin_cambio,1.0,7741,"2021,2022,2023,2024",4
COLECISTITIS CRÓNICA,COLECISTITIS CRÓNICA,sin_cambio,1.0,7638,"2021,2022,2023,2024",4
SUFRIMIENTO MATERNO DURANTE EL TRABAJO DE PARTO Y EL PARTO,SUFRIMIENTO MATERNO DURANTE EL TRABAJO DE PARTO Y EL PARTO,sin_cambio,1.0,7520,"2020,2021,2022,2023,2024",5
OTRAS RINITIS ALÉRGICAS,OTRAS RINITIS ALÉRGICAS,sin_cambio,1.0,7331,"2021,2022,2023,2024",4
"HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA","HERNIA INGUINAL BILATERAL, SIN OBSTRUCCIÓN NI GANGRENA",sin_cambio,1.0,7171,"2021,2022,2023,2024",4
LEIOMIOMA DEL UTERO,LEIOMIOMA DEL UTERO,sin_cambio,1.0,7149,"2020,2021,2022,2023,2024",5
LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO,LUXACIÓN DE LA ARTICULACIÓN DEL TOBILLO,sin_cambio,1.0,7094,"2021,2022,2023,2024",4
FRACTURA DE OTRO DEDO DE LA MANO,FRACTURA DE OTRO DEDO DE LA MANO,sin_cambio,1.0,7085,"2020,2021,2022,2023,2024",5
"TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO","TRASTORNO INTERNO DE LA RODILLA, NO ESPECIFICADO",sin_cambio,1.0,7073,"2021,2022,2023,2024",4
"HIPOTIROIDISMO, NO ESPECIFICADO","HIPOTIROIDISMO, NO ESPECIFICADO",sin_cambio,1.0,6846,"2020,2021,2022,2023,2024",5
OTROS TRASTORNOS DE LA REFRACCIÓN,OTROS TRASTORNOS DE LA REFRACCIÓN,sin_cambio,1.0,6826,"2021,2022,2023,2024",4
"DIABETES MELLITUS TIPO 1, CON COMA","DIABETES MELLITUS TIPO 1, CON COMA",sin_cambio,1.0,6744,"2021,2022,2023,2024",4
TRASTORNO INTERNO DE LA RODILLA,TRASTORNO INTERNO DE LA RODILLA,sin_cambio,1.0,6740,"2020,2021,2022,2023,2024",5
OTRAS GASTRITIS,OTRAS GASTRITIS,sin_cambio,1.0,6676,"2020,2021,2022,2023,2024",5
"CATARATA INFANTIL, JUVENIL Y PRESENIL","CATARATA INFANTIL, JUVENIL Y PRESENIL",sin_cambio,1.0,6670,"2020,2021,2022,2023,2024",5
"RINITIS ALÉRGICA, NO ESPECIFICADA","RINITIS ALÉRGICA, NO ESPECIFICADA",sin_cambio,1.0,6561,"2021,2022,2023,2024",4
"DIABETES MELLITUS NO ESPECIFICADA, CON COMA","DIABETES MELLITUS NO ESPECIFICADA, CON COMA",sin_cambio,1.0,6550,"2021,2022,2023,2024",4
OTRAS LESIONES DEL HOMBRO,OTRAS LESIONES DEL HOMBRO,sin_cambio,1.0,6509,"2020,2021,2022,2023,2024",5
APENDICITIS AGUDA,APENDICITIS AGUDA,sin_cambio,1.0,6405,"2020,2021,2022,2023,2024",5
FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO,FRACTURA DEL HUESO ESCAFOIDES [NAVICULAR] DE LA MANO,sin_cambio,1.0,6344,"2020,2021,2022,2023,2024",5
ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO,ENFERMEDAD DIVERTICULAR DEL INTESTINO DELGADO CON PERFORACIÓN Y ABSCESO,sin_cambio,1.0,6261,"2021,2022,2023,2024",4
FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO,FRACTURA DE LA EPÍFISIS INFERIOR DEL RADIO,sin_cambio,1.0,6205,"2021,2022,2023,2024",4
CALCULO DEL RINON,CÁLCULO DEL RIÑÓN,acento,0.99,6169,2020,1
OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES,OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES,sin_cambio,1.0,6115,"2021,2022,2023,2024",4
HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA,HERNIA DIAFRAGMÁTICA SIN OBSTRUCCIÓN NI GANGRENA,sin_cambio,1.0,6086,"2021,2022,2023,2024",4
ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS,ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO SIN ESOFAGITIS,sin_cambio,1.0,6042,"2021,2022,2023,2024",4
FRACTURA DE LA DIÁFISIS DEL RADIO,FRACTURA DE LA DIÁFISIS DEL RADIO,sin_cambio,1.0,5943,"2021,2022,2023,2024",4
AMIGDALITIS CRÓNICA,AMIGDALITIS CRÓNICA,sin_cambio,1.0,5903,"2021,2022,2023,2024",4
"NEUMONÍA, NO ESPECIFICADA","NEUMONÍA, NO ESPECIFICADA",sin_cambio,1.0,5864,"2021,2022,2023,2024",4
TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,sin_cambio,1.0,5860,"2021,2022,2023,2024",4
"TRAUMATISMOS SUPERFICIALES MÚLTIPLES, NO ESPECIFICADOS","TRAUMATISMOS SUPERFICIALES MÚLTIPLES, NO ESPECIFICADOS",sin_cambio,1.0,5839,"2021,2022,2023,2024",4
TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO,TROMBOSIS CORONARIA QUE NO RESULTA EN INFARTO DEL MIOCARDIO,sin_cambio,1.0,5660,"2020,2021,2022,2023,2024",5
PTERIGIÓN,PTERIGIÓN,sin_cambio,1.0,5657,"2021,2022,2023,2024",4
QUERATOCONO,QUERATOCONO,sin_cambio,1.0,5655,"2020,2021,2022,2023,2024",5
MENISCO QUISTICO,MENISCO QUÍSTICO,acento,0.99,5644,2020,1
CARCINOMA IN SITU LOBULAR,CARCINOMA IN SITU LOBULAR,sin_cambio,1.0,5604,"2020,2021,2022,2023,2024",5
"PARTO UNICO ESPONTANEO, PRESENTACION CEFALICA DE VERTICE","PARTO ÚNICO ESPONTÁNEO, PRESENTACIÓN CEFÁLICA DE VÉRTICE",acento,0.99,5598,2020,1
PÓLIPO DEL CUERPO DEL ÚTERO,PÓLIPO DEL CUERPO DEL ÚTERO,sin_cambio,1.0,5440,"2021,2022,2023,2024",4
ENFERMEDAD DEL REFLUJO GASTROESOFAGICO CON ESOFAGITIS,ENFERMEDAD DEL REFLUJO GASTROESOFÁGICO CON ESOFAGITIS,acento,0.99,5429,2020,1
"DIABETES MELLITUS TIPO 2, SIN MENCIÓN DE COMPLICACIÓN","DIABETES MELLITUS TIPO 2, SIN MENCIÓN DE COMPLICACIÓN",sin_cambio,1.0,5384,"2021,2022,2023,2024",4
SÍNDROME DEL MANGUITO ROTATORIO,SÍNDROME DEL MANGUITO ROTATORIO,sin_cambio,1.0,5372,"2021,2022,2023,2024",4
TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA,TRASTORNO DE DISCO CERVICAL CON RADICULOPATÍA,sin_cambio,1.0,5318,"2021,2022,2023,2024",4
TUMOR MALIGNO DE LA PRÓSTATA,TUMOR MALIGNO DE LA PRÓSTATA,sin_cambio,1.0,5273,"2021,2022,2023,2024",4
"GONARTROSIS PRIMARIA, BILATERAL","GONARTROSIS PRIMARIA, BILATERAL",sin_cambio,1.0,5264,"2020,2021,2022,2023,2024",5
CAPSULITIS ADHESIVA DEL HOMBRO,CAPSULITIS ADHESIVA DEL HOMBRO,sin_cambio,1.0,5248,"2020,2021,2022,2023,2024",5
ESCLEROSIS MÚLTIPLE,ESCLEROSIS MÚLTIPLE,sin_cambio,1.0,5233,"2021,2022,2023,2024",4
ENDOMETRIOSIS DEL ÚTERO,ENDOMETRIOSIS DEL ÚTERO,sin_cambio,1.0,5194,"2021,2022,2023,2024",4
"CATARATA, NO ESPECIFICADA","CATARATA, NO ESPECIFICADA",sin_cambio,1.0,5175,"2020,2021,2022,2023,2024",5
"TRASTORNOS DEL METABOLISMO DE LAS PROTEÍNAS PLASMÁTICAS, NO CLASIFICADOS EN OTRA PARTE","TRASTORNOS DEL METABOLISMO DE LAS PROTEÍNAS PLASMÁTICAS, NO CLASIFICADOS EN OTRA PARTE",sin_cambio,1.0,5121,"2021,2022,2023,2024",4
ASMA PREDOMINANTEMENTE ALÉRGICA,ASMA PREDOMINANTEMENTE ALÉRGICA,sin_cambio,1.0,5117,"2021,2022,2023,2024",4
"NACIDO VIVO, UNICO","NACIDO VIVO, ÚNICO",acento,0.99,5102,2020,1
FRACTURA DE LA EPÍFISIS SUPERIOR DEL CÚBITO,FRACTURA DE LA EPÍFISIS SUPERIOR DEL CÚBITO,sin_cambio,1.0,5031,"2021,2022,2023,2024",4
CAMBIOS POSTERUPTIVOS DEL COLOR DE LOS TEJIDOS DENTALES DUROS,CAMBIOS POSTERUPTIVOS DEL COLOR DE LOS TEJIDOS DENTALES DUROS,sin_cambio,1.0,5000,"2021,2022,2023,2024",4
LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO,LUXACIÓN DE LA ARTICULACIÓN DEL HOMBRO,sin_cambio,1.0,4981,"2021,2022,2023,2024",4
EXAMEN DE OJOS Y DE LA VISIÓN,EXAMEN DE OJOS Y DE LA VISIÓN,sin_cambio,1.0,4966,"2021,2022,2023,2024",4
TRAUMATISMO DEL TENDÓN DE AQUILES,TRAUMATISMO DEL TENDÓN DE AQUILES,sin_cambio,1.0,4963,"2021,2022,2023,2024",4
ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL,ESGUINCES Y TORCEDURAS DE LA COLUMNA CERVICAL,sin_cambio,1.0,4913,"2021,2022,2023,2024",4
HALLUX VALGUS (ADQUIRIDO),HALLUX VALGUS (ADQUIRIDO),sin_cambio,1.0,4906,"2020,2021,2022,2023,2024",5
"TRASTORNO DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA","TRASTORNO DE DISCO LUMBAR Y OTROS, CON RADICULOPATIA",sin_cambio,1.0,4851,2020,1
SÍNDROME DEL COLON IRRITABLE SIN DIARREA,SÍNDROME DEL COLON IRRITABLE SIN DIARREA,sin_cambio,1.0,4849,"2021,2022,2023,2024",4
TUMOR MALIGNO DEL CIEGO,TUMOR MALIGNO DEL CIEGO,sin_cambio,1.0,4842,"2020,2021,2022,2023,2024",5
TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO,TRAUMATISMOS SUPERFICIALES QUE AFECTAN LA CABEZA CON EL CUELLO,sin_cambio,1.0,4809,"2020,2021,2022,2023,2024",5
"HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)","HERIDA DE DEDO(S) DE LA MANO, SIN DAÑO DE LA(S) UÑA(S)",sin_cambio,1.0,4785,"2021,2022,2023,2024",4
ALERGIA NO ESPECIFICADA,ALERGIA NO ESPECIFICADA,sin_cambio,1.0,4753,"2020,2021,2022,2023,2024",5
